"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
2021-01-05,"AN",8464411,17.838,7062213,17.598,140295,0,0,140295,1.657,18.859,140295,0,0,140295,140295,0,0,140295,1.657,40263,40263,0,0.476,28.699,28.896,40263,0.476,0,40263,0.476,0,28.896,40263,40263,0,0.476,0,0.476,0.57,0,0.57,40263,0,0.476,0,40263,40263,0,0.476,0,0.57,0,40263,0,0,0,0,61.991,5.724,61.905,NA
2021-01-06,"AN",8464411,17.838,7062213,17.598,140295,0,0,140295,1.657,NA,0,0,0,0,140295,0,0,140295,1.657,47098,47098,0,0.556,NA,27.172,6835,0.081,16.976,47098,0.556,16.976,27.172,47098,47098,0,NA,NA,0.556,NA,NA,0.667,6835,0,0.081,0,6835,47098,0,0.556,0,0.667,0,47098,16.976,16.976,NA,NA,52.326,NA,NA,NA
2021-01-07,"AN",8464411,17.838,7062213,17.598,140295,0,0,140295,1.657,18.859,0,0,0,0,140295,0,0,140295,1.657,53934,53934,0,0.637,38.443,26.014,6836,0.081,14.514,53934,0.637,14.514,26.014,53934,53934,0,0.637,0,0.637,0.764,0,0.764,6836,0,0.081,0,6836,53934,0,0.637,0,0.764,0,53934,14.514,14.514,NA,NA,45.835,5.724,45.767,NA
2021-01-08,"AN",8464411,17.838,7062213,17.598,140295,0,0,140295,1.657,18.859,0,0,0,0,140295,0,0,140295,1.657,69445,69445,0,0.82,49.499,24.982,15511,0.183,28.759,69445,0.82,28.759,24.982,69445,69445,0,0.82,0,0.82,0.983,0,0.983,15511,0,0.183,0,15511,69445,0,0.82,0,0.983,0,69445,28.759,28.759,NA,NA,40.049,5.724,39.932,NA
2021-01-09,"AN",8464411,17.838,7062213,17.598,140295,0,0,140295,1.657,NA,0,0,0,0,140295,0,0,140295,1.657,73426,73426,0,0.867,NA,22.897,3981,0.047,5.733,73426,0.867,5.733,22.897,73426,73426,0,NA,NA,0.867,NA,NA,1.04,3981,0,0.047,0,3981,73426,0,0.867,0,1.04,0,73426,5.733,5.733,NA,NA,28.361,NA,NA,NA
2021-01-10,"AN",8464411,17.838,7062213,17.598,140295,0,0,140295,1.657,NA,0,0,0,0,140295,0,0,140295,1.657,77406,77406,0,0.914,NA,21.301,3980,0.047,5.42,77406,0.914,5.42,21.301,77406,77406,0,NA,NA,0.914,NA,NA,1.096,3980,0,0.047,0,3980,77406,0,0.914,0,1.096,0,77406,5.42,5.42,NA,NA,19.414,NA,NA,NA
2021-01-11,"AN",8464411,17.838,7062213,17.598,140295,0,0,140295,1.657,18.859,0,0,0,0,140295,0,0,140295,1.657,81387,81387,0,0.962,58.011,20.042,3981,0.047,5.143,81387,0.962,5.143,20.042,81387,81387,0,0.962,0,0.962,1.152,0,1.152,3981,0,0.047,0,3981,81387,0,0.962,0,1.152,0,81387,5.143,5.143,NA,NA,12.356,5.724,12.383,NA
2021-01-12,"AN",8464411,17.838,7062213,17.598,140295,0,0,140295,1.657,18.859,0,0,0,0,0,0,0,0,0,94879,94879,0,1.121,67.628,19.441,13492,0.159,16.578,54616,0.645,-32.893,15.663,94879,94879,0,1.121,0,1.121,1.343,0,1.343,13492,0,0.159,0,13492,54616,0,0.645,0,0.773,0,54616,16.578,-32.893,NA,NA,8.986,5.724,8.941,NA
2021-01-13,"AN",8464411,17.838,7062213,17.598,209520,0,0,209520,2.475,18.983,69225,0,0,69225,69225,0,0,69225,0.818,109831,109831,0,1.298,52.42,18.883,14952,0.177,15.759,62733,0.741,14.862,15.364,109831,109831,0,1.298,0,1.298,1.555,0,1.555,14952,0,0.177,0,14952,62733,0,0.741,0,0.888,0,62733,15.759,14.862,NA,NA,5.858,6.419,5.873,NA
2021-01-14,"AN",8464411,17.838,7062213,17.598,209520,0,6800,216320,2.556,18.985,0,0,6800,6800,69225,0,6800,76025,0.898,123459,123459,0,1.459,57.072,18.258,13628,0.161,12.408,69525,0.821,10.827,14.828,123459,123459,0,1.459,0,1.459,1.748,0,1.748,13628,0,0.161,0,13628,69525,0,0.821,0,0.984,0,69525,12.408,10.827,NA,NA,2.355,6.43,2.386,NA
