"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
2021-01-05,"AS",1018784,2.147,901209,2.246,23720,0,0,23720,2.328,3.188,23720,0,0,23720,23720,0,0,23720,2.328,12929,12929,0,1.269,54.507,9.279,12929,12929,0,1.269,0,12929,12929,0,1.269,0,9.279,12929,12929,0,1.269,0,1.269,1.435,0,1.435,12929,0,1.269,0,12929,0,1.269,0,1.435,0,0,0,0,0,332.184,48.486,331.633,NA
2021-01-06,"AS",1018784,2.147,901209,2.246,23720,0,0,23720,2.328,NA,0,0,0,0,23720,0,0,23720,2.328,13668,13668,0,1.342,NA,7.885,739,739,0,0.073,5.716,13668,13668,0,1.342,5.716,7.885,13668,13668,0,NA,NA,1.342,NA,NA,1.517,739,0,0.073,0,13668,0,1.342,0,1.517,0,5.716,5.716,NA,NA,267.257,NA,NA,NA
2021-01-07,"AS",1018784,2.147,901209,2.246,23720,0,0,23720,2.328,3.188,0,0,0,0,23720,0,0,23720,2.328,14406,14406,0,1.414,60.734,6.949,738,738,0,0.072,5.399,14406,14406,0,1.414,5.399,6.949,14406,14406,0,1.414,0,1.414,1.599,0,1.599,738,0,0.072,0,14406,0,1.414,0,1.599,0,5.399,5.399,NA,NA,223.661,48.486,223.57,NA
2021-01-08,"AS",1018784,2.147,901209,2.246,23720,0,0,23720,2.328,3.188,0,0,0,0,23720,0,0,23720,2.328,17843,17843,0,1.751,75.223,6.419,3437,3437,0,0.337,23.858,17843,17843,0,1.751,23.858,6.419,17843,17843,0,1.751,0,1.751,1.98,0,1.98,3437,0,0.337,0,17843,0,1.751,0,1.98,0,23.858,23.858,NA,NA,198.975,48.486,198.805,NA
2021-01-09,"AS",1018784,2.147,901209,2.246,23720,0,0,23720,2.328,NA,0,0,0,0,23720,0,0,23720,2.328,18210,18210,0,1.787,NA,5.679,367,367,0,0.036,2.057,18210,18210,0,1.787,2.057,5.679,18210,18210,0,NA,NA,1.787,NA,NA,2.021,367,0,0.036,0,18210,0,1.787,0,2.021,0,2.057,2.057,NA,NA,164.509,NA,NA,NA
2021-01-10,"AS",1018784,2.147,901209,2.246,23720,0,0,23720,2.328,NA,0,0,0,0,23720,0,0,23720,2.328,18576,18576,0,1.823,NA,5.112,366,366,0,0.036,2.01,18576,18576,0,1.823,2.01,5.112,18576,18576,0,NA,NA,1.823,NA,NA,2.061,366,0,0.036,0,18576,0,1.823,0,2.061,0,2.01,2.01,NA,NA,138.1,NA,NA,NA
2021-01-11,"AS",1018784,2.147,901209,2.246,23720,0,0,23720,2.328,3.188,0,0,0,0,23720,0,0,23720,2.328,18943,18943,0,1.859,79.861,4.665,367,367,0,0.036,1.976,18943,18943,0,1.859,1.976,4.665,18943,18943,0,1.859,0,1.859,2.102,0,2.102,367,0,0.036,0,18943,0,1.859,0,2.102,0,1.976,1.976,NA,NA,117.28,48.486,117.173,NA
2021-01-12,"AS",1018784,2.147,901209,2.246,23720,0,0,23720,2.328,3.188,0,0,0,0,0,0,0,0,0,22428,22428,0,2.201,94.553,4.596,3485,3485,0,0.342,18.397,9499,9499,0,0.932,-49.855,2.724,22428,22428,0,2.201,0,2.201,2.489,0,2.489,3485,0,0.342,0,9499,0,0.932,0,1.054,0,18.397,-49.855,NA,NA,114.066,48.486,113.897,NA
2021-01-13,"AS",1018784,2.147,901209,2.246,35420,0,0,35420,3.477,3.209,11700,0,0,11700,11700,0,0,11700,1.148,25278,25278,0,2.481,71.366,4.346,2850,2850,0,0.28,12.707,11610,11610,0,1.14,22.223,2.843,25278,25278,0,2.481,0,2.481,2.805,0,2.805,2850,0,0.28,0,11610,0,1.14,0,1.288,0,12.707,22.223,NA,NA,102.422,49.464,102.365,NA
2021-01-14,"AS",1018784,2.147,901209,2.246,35420,0,1200,36620,3.594,3.214,0,0,1200,1200,11700,0,1200,12900,1.266,29074,29074,0,2.854,79.394,4.3,3796,3796,0,0.373,15.017,14668,14668,0,1.44,26.339,3.128,29074,29074,0,2.854,0,2.854,3.226,0,3.226,3796,0,0.373,0,14668,0,1.44,0,1.628,0,15.017,26.339,NA,NA,100.279,49.697,100.281,NA
2021-01-15,"AS",1018784,2.147,901209,2.246,35420,0,1200,36620,3.594,3.214,0,0,0,0,11700,0,1200,12900,1.266,31247,31247,0,3.067,85.328,4.064,2173,2173,0,0.213,7.474,13404,13404,0,1.316,-8.617,2.73,31247,31247,0,3.067,0,3.067,3.467,0,3.467,2173,0,0.213,0,13404,0,1.316,0,1.487,0,7.474,-8.617,NA,NA,89.287,49.697,89.204,NA
2021-01-16,"AS",1018784,2.147,901209,2.246,35420,0,1200,36620,3.594,NA,0,0,0,0,11700,0,1200,12900,1.266,32022,31955,135,3.143,NA,3.944,775,708,135,0.076,2.48,13812,13745,135,1.356,3.044,2.812,31955,31887,67,NA,NA,3.13,NA,NA,3.538,708,67,0.069,0.007,13745,67,1.349,0.007,1.525,0.007,2.266,2.544,Inf,Inf,83.698,NA,NA,NA
