"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
2021-01-05,"CB",582905,1.228,501384,1.249,11850,0,0,0,11850,2.033,1.593,11850,0,0,11850,11850,0,0,11850,2.033,601,601,0,0.103,5.072,0.431,601,0.103,0,601,0,601,0.103,0,0.431,601,0,601,0.103,0,0.12,0,601,0,0.103,0,601,0,0.103,0,0.12,0,0,0,0,0,-64.902,29.723,-64.966,NA,2022-12-13,2024-04-02,2025-07-22,NA,NA,NA,NA,NA,NA
2021-01-06,"CB",582905,1.228,501384,1.249,11850,0,0,0,11850,2.033,1.593,0,0,0,0,11850,0,0,11850,2.033,1082,1082,0,0.186,9.131,0.624,481,0.083,80.033,481,0,1082,0.186,80.033,0.624,1082,0,1082,0.186,0,0.216,0,481,0,0.083,0,1082,0,0.186,0,0.216,0,80.033,80.033,NA,NA,-49.186,29.723,-49.041,NA,2022-07-28,2023-08-15,2024-09-02,NA,NA,NA,NA,NA,NA
2021-01-07,"CB",582905,1.228,501384,1.249,11850,0,0,0,11850,2.033,1.593,0,0,0,0,11850,0,0,11850,2.033,1564,1564,0,0.268,13.198,0.754,482,0.083,44.547,482,0,1564,0.268,44.547,0.754,1564,0,1564,0.268,0,0.312,0,482,0,0.083,0,1564,0,0.268,0,0.312,0,44.547,44.547,NA,NA,-38.599,29.723,-38.673,NA,2022-04-25,2023-03-11,2024-01-26,NA,NA,NA,NA,NA,NA
2021-01-08,"CB",582905,1.228,501384,1.249,11850,0,0,0,11850,2.033,1.593,0,0,0,0,11850,0,0,11850,2.033,2334,2334,0,0.4,19.696,0.84,770,0.132,49.233,770,0,2334,0.4,49.233,0.84,2334,0,2334,0.4,0,0.466,0,770,0,0.132,0,2334,0,0.4,0,0.466,0,49.233,49.233,NA,NA,-31.596,29.723,-31.741,NA,2021-12-25,2022-08-21,2023-04-17,NA,NA,NA,NA,NA,NA
2021-01-09,"CB",582905,1.228,501384,1.249,11850,0,0,0,11850,2.033,1.593,0,0,0,0,11850,0,0,11850,2.033,4381,4381,0,0.752,36.97,1.366,2047,0.351,87.704,2047,0,4381,0.752,87.704,1.366,4381,0,4381,0.752,0,0.874,0,2047,0,0.351,0,4381,0,0.752,0,0.874,0,87.704,87.704,NA,NA,11.238,29.723,11.243,NA,2021-11-08,2022-06-03,2022-12-27,NA,NA,NA,NA,NA,NA
2021-01-10,"CB",582905,1.228,501384,1.249,11850,0,0,0,11850,2.033,1.593,0,0,0,0,11850,0,0,11850,2.033,6427,6427,0,1.103,54.236,1.769,2046,0.351,46.702,2046,0,6427,1.103,46.702,1.769,6427,0,6427,1.103,0,1.282,0,2046,0,0.351,0,6427,0,1.103,0,1.282,0,46.702,46.702,NA,NA,44.055,29.723,43.995,NA,2021-10-04,2022-04-04,2022-10-04,NA,NA,NA,NA,NA,NA
2021-01-11,"CB",582905,1.228,501384,1.249,11850,0,0,0,11850,2.033,1.593,0,0,0,0,11850,0,0,11850,2.033,8474,8474,0,1.454,71.511,2.087,2047,0.351,31.85,2047,0,8474,1.454,31.85,2.087,8474,0,8474,1.454,0,1.69,0,2047,0,0.351,0,8474,0,1.454,0,1.69,0,31.85,31.85,NA,NA,69.951,29.723,69.86,NA,2021-09-06,2022-02-16,2022-07-30,NA,NA,NA,NA,NA,NA
2021-01-12,"CB",582905,1.228,501384,1.249,11850,0,0,0,11850,2.033,1.593,0,0,0,0,0,0,0,0,0,9527,9527,0,1.634,80.397,1.952,1053,0.181,12.426,1053,0,8926,1.531,5.334,2.56,9527,0,9527,1.634,0,1.9,0,1053,0,0.181,0,8926,0,1.531,0,1.78,0,12.426,5.334,NA,NA,58.958,29.723,58.795,NA,2021-10-14,2022-04-23,2022-10-30,NA,NA,NA,NA,NA,NA
2021-01-13,"CB",582905,1.228,501384,1.249,17700,0,0,0,17700,3.037,1.604,5850,0,0,5850,5850,0,0,5850,1.004,11302,11302,0,1.939,63.853,1.943,1775,0.305,18.631,1775,0,10220,1.753,14.497,2.503,11302,0,11302,1.939,0,2.254,0,1775,0,0.305,0,10220,0,1.753,0,2.038,0,18.631,14.497,NA,NA,58.225,30.619,58.157,NA,2021-09-04,2022-02-13,2022-07-26,NA,NA,NA,NA,NA,NA
2021-01-14,"CB",582905,1.228,501384,1.249,17700,0,500,0,18200,3.122,1.597,0,0,500,500,5850,0,500,6350,1.089,12779,12779,0,2.192,70.214,1.89,1477,0.253,13.068,1477,0,11215,1.924,9.736,2.392,12779,0,12779,2.192,0,2.549,0,1477,0,0.253,0,11215,0,1.924,0,2.237,0,13.068,9.736,NA,NA,53.909,30.049,53.825,NA,2021-08-04,2021-12-24,2022-05-14,NA,NA,NA,NA,NA,NA
