"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
2021-01-05,"CE",84202,0.177,66158,0.165,1005,0,0,1005,1.194,0.135,1005,0,0,1005,1005,0,0,1005,1.194,517,517,0,0.614,51.443,0.371,517,0.614,0,517,0,517,0.614,0,0.371,517,0,517,0.614,0,0.781,0,517,0,0.614,0,517,0,0.614,0,0.781,0,0,0,0,0,109.605,-23.729,108.844,NA
2021-01-06,"CE",84202,0.177,66158,0.165,1005,0,0,1005,1.194,NA,0,0,0,0,1005,0,0,1005,1.194,546,546,0,0.648,NA,0.315,29,0.034,5.609,29,0,546,0.648,5.609,0.315,546,0,546,0.648,0,NA,NA,29,0,0.034,0,546,0,0.648,0,0.825,0,5.609,5.609,NA,NA,77.966,NA,77.534,NA
2021-01-07,"CE",84202,0.177,66158,0.165,1005,0,0,1005,1.194,0.135,0,0,0,0,1005,0,0,1005,1.194,576,576,0,0.684,57.313,0.278,30,0.036,5.495,30,0,576,0.684,5.495,0.278,576,0,576,0.684,0,0.871,0,30,0,0.036,0,576,0,0.684,0,0.871,0,5.495,5.495,NA,NA,57.062,-23.729,56.522,NA
2021-01-08,"CE",84202,0.177,66158,0.165,1005,0,0,1005,1.194,0.135,0,0,0,0,1005,0,0,1005,1.194,637,637,0,0.757,63.383,0.229,61,0.072,10.59,61,0,637,0.757,10.59,0.229,637,0,637,0.757,0,0.963,0,61,0,0.072,0,637,0,0.757,0,0.963,0,10.59,10.59,NA,NA,29.379,-23.729,29.181,NA
2021-01-09,"CE",84202,0.177,66158,0.165,1005,0,0,1005,1.194,NA,0,0,0,0,1005,0,0,1005,1.194,657,657,0,0.78,NA,0.205,20,0.024,3.14,20,0,657,0.78,3.14,0.205,657,0,657,0.78,0,NA,NA,20,0,0.024,0,657,0,0.78,0,0.993,0,3.14,3.14,NA,NA,15.819,NA,15.385,NA
2021-01-10,"CE",84202,0.177,66158,0.165,1005,0,0,1005,1.194,NA,0,0,0,0,1005,0,0,1005,1.194,678,678,0,0.805,NA,0.187,21,0.025,3.196,21,0,678,0.805,3.196,0.187,678,0,678,0.805,0,NA,NA,21,0,0.025,0,678,0,0.805,0,1.025,0,3.196,3.196,NA,NA,5.65,NA,5.091,NA
2021-01-11,"CE",84202,0.177,66158,0.165,1005,0,0,1005,1.194,0.135,0,0,0,0,1005,0,0,1005,1.194,698,698,0,0.829,69.453,0.172,20,0.024,2.95,20,0,698,0.829,2.95,0.172,698,0,698,0.829,0,1.055,0,20,0,0.024,0,698,0,0.829,0,1.055,0,2.95,2.95,NA,NA,-2.825,-23.729,-3.154,NA
2021-01-12,"CE",84202,0.177,66158,0.165,1005,0,0,1005,1.194,0.135,0,0,0,0,0,0,0,0,0,758,758,0,0.9,75.423,0.155,60,0.071,8.596,60,0,241,0.286,-65.473,0.069,758,0,758,0.9,0,1.146,0,60,0,0.071,0,241,0,0.286,0,0.364,0,8.596,-65.473,NA,NA,-12.429,-23.729,-12.536,NA
2021-01-13,"CE",84202,0.177,66158,0.165,1005,0,0,1005,1.194,0.091,0,0,0,0,0,0,0,0,0,820,820,0,0.974,81.592,0.141,62,0.074,8.179,62,0,274,0.325,13.693,0.067,820,0,820,0.974,0,1.239,0,62,0,0.074,0,274,0,0.325,0,0.414,0,8.179,13.693,NA,NA,-20.339,-48.588,-20.555,NA
2021-01-14,"CE",84202,0.177,66158,0.165,1005,0,200,1205,1.431,0.106,0,0,200,200,0,0,200,200,0.238,911,911,0,1.082,75.602,0.135,91,0.108,11.098,91,0,335,0.398,22.263,0.071,911,0,911,1.082,0,1.377,0,91,0,0.108,0,335,0,0.398,0,0.506,0,11.098,22.263,NA,NA,-23.729,-40.113,-24.07,NA
2021-01-15,"CE",84202,0.177,66158,0.165,1005,0,200,1205,1.431,0.106,0,0,0,0,0,0,200,200,0.238,941,941,0,1.118,78.091,0.122,30,0.036,3.293,30,0,304,0.361,-9.254,0.062,941,0,941,1.118,0,1.422,0,30,0,0.036,0,304,0,0.361,0,0.46,0,3.293,-9.254,NA,NA,-31.073,-40.113,-31.03,NA
2021-01-16,"CE",84202,0.177,66158,0.165,1005,0,200,1205,1.431,NA,0,0,0,0,0,0,200,200,0.238,954,935,19,1.133,NA,0.117,13,0.015,1.382,3,10,297,0.353,-2.303,0.06,945,10,935,1.122,0.012,NA,NA,4,10,0.005,0.012,288,10,0.342,0.012,0.435,0.015,0.425,-5.263,Inf,Inf,-33.898,NA,-34.386,500
2021-01-17,"CE",84202,0.177,66158,0.165,1005,0,200,1205,1.431,NA,0,0,0,0,0,0,200,200,0.238,968,929,39,1.15,NA,0.113,14,0.017,1.468,5,9,290,0.344,-2.357,0.059,948,19,929,1.126,0.023,NA,NA,3,9,0.004,0.011,270,19,0.321,0.023,0.408,0.029,0.317,-6.25,90,90,-36.158,NA,-37.375,666.667
2021-01-18,"CE",84202,0.177,66158,0.165,1005,0,200,1205,1.431,0.105,0,0,0,0,0,0,200,200,0.238,981,923,58,1.165,81.411,0.109,13,0.015,1.343,3,10,283,0.336,-2.414,0.058,952,29,923,1.131,0.034,1.439,0.044,4,10,0.005,0.012,254,29,0.302,0.034,0.384,0.044,0.422,-5.926,52.632,52.632,-38.418,-40.678,-40.064,580
2021-01-19,"CE",84202,0.177,66158,0.165,1005,0,200,1205,1.431,0.105,0,0,0,0,0,0,200,200,0.238,1080,1022,58,1.283,89.627,0.112,99,0.118,10.092,99,0,322,0.382,13.781,0.067,1051,29,1022,1.248,0.034,1.589,0.044,99,0,0.118,0,293,29,0.348,0.034,0.443,0.044,10.399,15.354,0,0,-36.723,-40.678,-38.095,70
2021-01-20,"CE",84202,0.177,66158,0.165,1980,0,200,2180,2.589,0.162,975,0,0,975,975,0,200,1175,1.395,1110,1052,58,1.318,50.917,0.108,30,0.036,2.778,30,0,290,0.344,-9.938,0.065,1081,29,1052,1.284,0.034,1.634,0.044,30,0,0.036,0,261,29,0.31,0.034,0.395,0.044,2.854,-10.922,0,0,-38.983,-8.475,-39.69,3.03
2021-01-21,"CE",84202,0.177,66158,0.165,1980,0,200,2180,2.589,0.162,0,0,0,0,975,0,0,975,1.158,1545,893,652,1.835,70.872,0.14,435,0.517,39.189,138,297,634,0.753,118.621,0.148,1219,326,893,1.448,0.387,1.843,0.493,138,297,0.164,0.353,308,326,0.366,0.387,0.466,0.493,12.766,18.008,1024.138,1024.138,-20.904,-8.475,-34.833,275.728
2021-01-22,"CE",84202,0.177,66158,0.165,1980,0,200,2180,2.589,0.162,0,0,0,0,975,0,0,975,1.158,1641,895,746,1.949,75.275,0.141,96,0.114,6.214,49,47,700,0.831,10.41,0.176,1268,373,895,1.506,0.443,1.917,0.564,49,47,0.058,0.056,327,373,0.388,0.443,0.494,0.564,4.02,6.169,14.417,14.417,-20.339,-8.475,-34.89,207.639
