"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
2021-01-05,"CL",2394918,5.047,2092873,5.215,51390,0,0,0,51390,2.146,6.908,51390,0,0,51390,51390,0,0,51390,2.146,16430,16430,0,0.686,31.971,11.791,16430,0.686,0,16430,0,16430,0.686,0,11.791,16430,0,16430,0.686,0,0.785,0,16430,0,0.686,0,16430,0,0.686,0,0.785,0,0,0,0,0,133.624,36.873,133.333,NA,2022-12-13,2024-04-02,2025-07-22,NA,NA,NA,NA,NA,NA
2021-01-06,"CL",2394918,5.047,2092873,5.215,51390,0,0,0,51390,2.146,6.908,0,0,0,0,51390,0,0,51390,2.146,19266,19266,0,0.804,37.49,11.115,2836,0.118,17.261,2836,0,19266,0.804,17.261,11.115,19266,0,19266,0.804,0,0.921,0,2836,0,0.118,0,19266,0,0.804,0,0.921,0,17.261,17.261,NA,NA,120.23,36.873,120.274,NA,2022-07-28,2023-08-15,2024-09-02,NA,NA,NA,NA,NA,NA
2021-01-07,"CL",2394918,5.047,2092873,5.215,51390,0,0,0,51390,2.146,6.908,0,0,0,0,51390,0,0,51390,2.146,22103,22103,0,0.923,43.01,10.661,2837,0.118,14.725,2837,0,22103,0.923,14.725,10.661,22103,0,22103,0.923,0,1.056,0,2837,0,0.118,0,22103,0,0.923,0,1.056,0,14.725,14.725,NA,NA,111.234,36.873,111.213,NA,2022-04-25,2023-03-11,2024-01-26,NA,NA,NA,NA,NA,NA
2021-01-08,"CL",2394918,5.047,2092873,5.215,51390,0,0,0,51390,2.146,6.908,0,0,0,0,51390,0,0,51390,2.146,28325,28325,0,1.183,55.118,10.19,6222,0.26,28.15,6222,0,28325,1.183,28.15,10.19,28325,0,28325,1.183,0,1.353,0,6222,0,0.26,0,28325,0,1.183,0,1.353,0,28.15,28.15,NA,NA,101.902,36.873,101.877,NA,2021-12-25,2022-08-21,2023-04-17,NA,NA,NA,NA,NA,NA
2021-01-09,"CL",2394918,5.047,2092873,5.215,51390,0,0,0,51390,2.146,6.908,0,0,0,0,51390,0,0,51390,2.146,30952,30952,0,1.292,60.23,9.652,2627,0.11,9.274,2627,0,30952,1.292,9.274,9.652,30952,0,30952,1.292,0,1.479,0,2627,0,0.11,0,30952,0,1.292,0,1.479,0,9.274,9.274,NA,NA,91.242,36.873,91.124,NA,2021-11-08,2022-06-03,2022-12-27,NA,NA,NA,NA,NA,NA
2021-01-10,"CL",2394918,5.047,2092873,5.215,51390,0,0,0,51390,2.146,6.908,0,0,0,0,51390,0,0,51390,2.146,33578,33578,0,1.402,65.34,9.24,2626,0.11,8.484,2626,0,33578,1.402,8.484,9.24,33578,0,33578,1.402,0,1.604,0,2626,0,0.11,0,33578,0,1.402,0,1.604,0,8.484,8.484,NA,NA,83.079,36.873,83.029,NA,2021-10-04,2022-04-04,2022-10-04,NA,NA,NA,NA,NA,NA
2021-01-11,"CL",2394918,5.047,2092873,5.215,51390,0,0,0,51390,2.146,6.908,0,0,0,0,51390,0,0,51390,2.146,36205,36205,0,1.512,70.451,8.915,2627,0.11,7.824,2627,0,36205,1.512,7.824,8.915,36205,0,36205,1.512,0,1.73,0,2627,0,0.11,0,36205,0,1.512,0,1.73,0,7.824,7.824,NA,NA,76.64,36.873,76.636,NA,2021-09-06,2022-02-16,2022-07-30,NA,NA,NA,NA,NA,NA
2021-01-12,"CL",2394918,5.047,2092873,5.215,51390,0,0,0,51390,2.146,6.908,0,0,0,0,0,0,0,0,0,41340,41340,0,1.726,80.444,8.471,5135,0.214,14.183,5135,0,24910,1.04,-31.197,7.144,41340,0,41340,1.726,0,1.975,0,5135,0,0.214,0,24910,0,1.04,0,1.19,0,14.183,-31.197,NA,NA,67.842,36.873,67.736,NA,2021-10-14,2022-04-23,2022-10-30,NA,NA,NA,NA,NA,NA
2021-01-13,"CL",2394918,5.047,2092873,5.215,76740,0,0,0,76740,3.204,6.953,25350,0,0,25350,25350,0,0,25350,1.058,48243,48243,0,2.014,62.866,8.294,6903,0.288,16.698,6903,0,28977,1.21,16.327,7.097,48243,0,48243,2.014,0,2.305,0,6903,0,0.288,0,28977,0,1.21,0,1.385,0,16.698,16.327,NA,NA,64.335,37.765,64.274,NA,2021-09-04,2022-02-13,2022-07-26,NA,NA,NA,NA,NA,NA
2021-01-14,"CL",2394918,5.047,2092873,5.215,76740,0,2500,0,79240,3.309,6.955,0,0,2500,2500,25350,0,2500,27850,1.163,57969,57969,0,2.421,73.156,8.573,9726,0.406,20.16,9726,0,35866,1.498,23.774,7.65,57969,0,57969,2.421,0,2.77,0,9726,0,0.406,0,35866,0,1.498,0,1.714,0,20.16,23.774,NA,NA,69.863,37.805,69.895,NA,2021-08-04,2021-12-24,2022-05-14,NA,NA,NA,NA,NA,NA
2021-01-15,"CL",2394918,5.047,2092873,5.215,76740,0,2500,0,79240,3.309,6.955,0,0,0,0,25350,0,2500,27850,1.163,59411,59411,0,2.481,74.976,7.726,1442,0.06,2.488,1442,0,31086,1.298,-13.327,6.331,59411,0,59411,2.481,0,2.839,0,1442,0,0.06,0,31086,0,1.298,0,1.485,0,2.488,-13.327,NA,NA,53.081,37.805,53.054,NA,2021-07-25,2021-12-08,2022-04-22,NA,NA,NA,NA,NA,NA
2021-01-16,"CL",2394918,5.047,2092873,5.215,76740,0,2500,0,79240,3.309,6.947,0,0,0,0,25350,0,2500,27850,1.163,61967,61884,83,2.587,78.202,7.632,2556,0.107,4.302,2515,41,31015,1.295,-0.228,6.313,61926,41,61885,2.586,0.002,2.959,0.002,2515,41,0.105,0.002,30974,41,1.293,0.002,1.48,0.002,4.233,-0.36,Inf,Inf,51.219,37.646,51.228,0,2021-07-26,2021-12-08,2022-04-23,2308-07-04,2500-02-27,2691-10-24,2308-07-04,2500-02-27,2691-10-24
2021-01-17,"CL",2394918,5.047,2092873,5.215,76740,0,2500,0,79240,3.309,6.939,0,0,0,0,25350,0,2500,27850,1.163,64523,64358,165,2.694,81.427,7.547,2556,0.107,4.125,2514,42,30945,1.292,-0.226,6.295,64440,83,64357,2.691,0.003,3.079,0.004,2514,42,0.105,0.002,30862,83,1.289,0.003,1.475,0.004,4.06,-0.362,102.439,102.439,49.534,37.488,49.666,0,2021-07-27,2021-12-09,2022-04-24,2212-09-06,2340-06-13,2468-03-20,2164-10-07,2260-08-05,2356-06-03
2021-01-18,"CL",2394918,5.047,2092873,5.215,76740,0,2500,0,79240,3.309,6.931,0,0,0,0,25350,0,2500,27850,1.163,67079,66831,248,2.801,84.653,7.47,2556,0.107,3.961,2515,41,30874,1.289,-0.229,6.277,66955,124,66831,2.796,0.005,3.199,0.006,2515,41,0.105,0.002,30750,124,1.284,0.005,1.469,0.006,3.903,-0.363,49.398,49.398,48.009,37.329,48.172,0,2021-07-27,2021-12-10,2022-04-25,2136-01-09,2212-09-07,2289-05-06,2116-11-09,2180-09-27,2244-08-16
2021-01-19,"CL",2394918,5.047,2092873,5.215,76740,0,2500,0,79240,3.309,6.931,0,0,0,0,25350,0,2500,27850,1.163,70885,70021,864,2.96,89.456,7.337,3806,0.159,5.674,3498,308,29545,1.234,-4.305,6.18,70453,432,70021,2.942,0.018,3.366,0.021,3498,308,0.146,0.013,29113,432,1.216,0.018,1.391,0.021,5.224,-5.324,248.387,248.387,45.373,37.329,45.933,-10,2021-08-05,2021-12-24,2022-05-15,2049-10-12,2068-12-11,2088-02-10,2046-01-11,2062-09-11,2079-05-12
2021-01-20,"CL",2394918,5.047,2092873,5.215,93315,0,2500,0,95815,4.001,7.118,16575,0,0,16575,16575,0,2500,19075,0.796,74350,73084,1266,3.104,77.597,7.247,3465,0.145,4.888,3264,201,26107,1.09,-11.636,5.876,73717,633,73084,3.078,0.026,3.522,0.03,3264,201,0.136,0.008,25474,633,1.064,0.026,1.217,0.03,4.633,-12.5,46.528,46.528,43.59,41.034,44.575,-21.212,2021-08-24,2022-01-26,2022-06-30,2038-06-16,2050-01-27,2061-09-08,2035-10-11,2045-08-09,2055-06-08
2021-01-21,"CL",2394918,5.047,2092873,5.215,93315,0,2500,0,95815,4.001,7.118,0,0,0,0,16575,0,0,16575,0.692,82162,71570,10592,3.431,85.751,7.447,7812,0.326,10.507,3149,4663,24193,1.01,-7.331,5.664,76866,5296,71570,3.21,0.221,3.673,0.253,3149,4663,0.131,0.195,18897,5296,0.789,0.221,0.903,0.253,4.272,-25.818,736.651,736.651,47.553,41.034,44.464,114.563,2021-09-21,2022-03-16,2022-09-08,2026-08-14,2030-05-05,2034-01-23,2025-10-01,2028-11-21,2032-01-13
2021-01-22,"CL",2394918,5.047,2092873,5.215,93315,0,2500,0,95815,4.001,7.118,0,0,0,0,16575,0,0,16575,0.692,86370,74250,12120,3.606,90.142,7.408,4208,0.176,5.122,3444,764,26959,1.126,11.433,6.793,80310,6060,74250,3.353,0.253,3.837,0.29,3444,764,0.144,0.032,20899,6060,0.873,0.253,0.999,0.29,4.481,10.594,14.426,14.426,46.78,41.034,44.963,75.694,2021-10-29,2022-05-19,2022-12-07,2025-01-12,2027-09-11,2030-05-10,2024-05-27,2026-08-23,2028-11-19
2021-01-23,"CL",2394918,5.047,2092873,5.215,93315,0,2500,0,95815,4.001,7.118,0,0,0,0,16575,0,0,16575,0.692,88932,74457,14475,3.713,92.816,7.475,2562,0.107,2.966,1384,1178,26965,1.126,0.022,7.137,81695,7238,74457,3.411,0.302,3.903,0.346,1385,1178,0.058,0.049,19769,7197,0.825,0.301,0.945,0.344,1.725,-5.407,19.439,18.762,48.108,41.034,45.211,91.139,2021-11-21,2022-06-28,2023-02-03,2024-09-14,2027-02-23,2029-08-02,2024-02-25,2026-03-22,2028-04-17
2021-01-24,"CL",2394918,5.047,2092873,5.215,93315,0,2500,0,95815,4.001,7.118,0,0,0,0,16575,0,0,16575,0.692,91495,74664,16831,3.82,95.491,7.539,2563,0.107,2.882,1386,1177,26972,1.126,0.026,7.519,83079,8415,74664,3.469,0.351,3.97,0.402,1384,1177,0.058,0.049,18639,8332,0.778,0.348,0.891,0.398,1.694,-5.716,16.261,15.77,49.376,41.034,45.451,102.89,2021-12-19,2022-08-14,2023-04-10,2024-06-12,2026-09-18,2028-12-25,2023-12-02,2025-11-01,2027-10-02
2021-01-25,"CL",2394918,5.047,2092873,5.215,93315,0,2500,0,95815,4.001,7.118,0,0,0,0,16575,0,0,16575,0.692,94057,74871,19186,3.927,98.165,7.6,2562,0.107,2.8,1384,1178,26978,1.126,0.022,7.943,84464,9593,74871,3.527,0.401,4.036,0.458,1385,1178,0.058,0.049,17509,9469,0.731,0.395,0.837,0.452,1.667,-6.063,13.999,13.646,50.585,41.034,45.684,114.439,2022-01-21,2022-10-10,2023-06-29,2024-03-16,2026-04-24,2028-06-02,2023-09-21,2025-07-03,2027-04-15
2021-01-26,"CL",2394918,5.047,2092873,5.215,93315,0,2500,0,95815,4.001,7.118,0,0,0,0,16575,0,0,16575,0.692,99536,73046,26490,4.156,103.884,7.709,5479,0.229,5.825,1827,3652,28651,1.196,6.201,8.812,86291,13245,73046,3.603,0.553,4.123,0.633,1827,3652,0.076,0.152,15838,12813,0.661,0.535,0.757,0.612,2.163,-9.544,38.069,35.315,52.744,41.034,46.463,111.877,2022-04-05,2023-02-14,2023-12-26,2023-06-08,2025-01-09,2026-08-13,2023-01-25,2024-05-30,2025-10-03
2021-01-27,"CL",2394918,5.047,2092873,5.215,121395,0,2500,0,123895,5.173,7.003,28080,0,0,28080,28080,0,0,28080,1.172,104197,66685,37512,4.351,84.101,7.682,4661,0.195,4.683,-850,5511,29847,1.246,4.174,9.03,85441,18756,66685,3.568,0.783,4.082,0.896,-850,5511,-0.035,0.23,11724,18123,0.49,0.757,0.56,0.866,-0.985,-25.976,41.608,41.442,52.209,38.756,43.063,114.521,2022-07-08,2023-07-27,2024-08-13,2022-10-13,2023-12-09,2025-02-03,2022-07-09,2023-07-01,2024-06-22
2021-01-28,"CL",2394918,5.047,2092873,5.215,121395,0,2500,0,123895,5.173,7.003,0,0,0,0,28080,0,0,28080,1.172,108203,68887,39316,4.518,87.334,7.753,4006,0.167,3.845,3104,902,26041,1.087,-12.752,8.908,88545,19658,68887,3.697,0.821,4.231,0.939,3104,902,0.13,0.038,11679,14362,0.488,0.6,0.558,0.686,3.633,-0.384,4.809,-20.753,53.616,38.756,45.838,102.217,2022-10-04,2023-12-25,2025-03-16,2022-12-12,2024-03-18,2025-06-23,2022-08-28,2023-09-23,2024-10-18
