"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
2021-01-05,"CN",2175952,4.586,1871033,4.662,27660,0,0,27660,1.271,3.718,27660,0,0,27660,27660,0,0,27660,1.271,5857,5857,0,0.269,21.175,4.203,5857,5857,0,0.269,0,5857,5857,0,0.269,0,4.203,5857,5857,0,0.269,0,0.269,0.313,0,0.313,5857,0,0.269,0,5857,0,0.269,0,0.313,0,0,0,0,0,-8.352,-18.927,-8.503,NA
2021-01-06,"CN",2175952,4.586,1871033,4.662,27660,0,0,27660,1.271,NA,0,0,0,0,27660,0,0,27660,1.271,6594,6594,0,0.303,NA,3.804,737,737,0,0.034,12.583,6594,6594,0,0.303,12.583,3.804,6594,6594,0,NA,NA,0.303,NA,NA,0.352,737,0,0.034,0,6594,0,0.303,0,0.352,0,12.583,12.583,NA,NA,-17.052,NA,NA,NA
2021-01-07,"CN",2175952,4.586,1871033,4.662,27660,0,0,27660,1.271,3.718,0,0,0,0,27660,0,0,27660,1.271,7330,7330,0,0.337,26.5,3.536,736,736,0,0.034,11.162,7330,7330,0,0.337,11.162,3.536,7330,7330,0,0.337,0,0.337,0.392,0,0.392,736,0,0.034,0,7330,0,0.337,0,0.392,0,11.162,11.162,NA,NA,-22.896,-18.927,-22.883,NA
2021-01-08,"CN",2175952,4.586,1871033,4.662,27660,0,0,27660,1.271,3.718,0,0,0,0,27660,0,0,27660,1.271,9572,9572,0,0.44,34.606,3.443,2242,2242,0,0.103,30.587,9572,9572,0,0.44,30.587,3.443,9572,9572,0,0.44,0,0.44,0.512,0,0.512,2242,0,0.103,0,9572,0,0.44,0,0.512,0,30.587,30.587,NA,NA,-24.924,-18.927,-24.915,NA
2021-01-09,"CN",2175952,4.586,1871033,4.662,27660,0,0,27660,1.271,NA,0,0,0,0,27660,0,0,27660,1.271,10917,10917,0,0.502,NA,3.404,1345,1345,0,0.062,14.051,10917,10917,0,0.502,14.051,3.404,10917,10917,0,NA,NA,0.502,NA,NA,0.583,1345,0,0.062,0,10917,0,0.502,0,0.583,0,14.051,14.051,NA,NA,-25.774,NA,NA,NA
2021-01-10,"CN",2175952,4.586,1871033,4.662,27660,0,0,27660,1.271,NA,0,0,0,0,27660,0,0,27660,1.271,12262,12262,0,0.564,NA,3.374,1345,1345,0,0.062,12.32,12262,12262,0,0.564,12.32,3.374,12262,12262,0,NA,NA,0.564,NA,NA,0.655,1345,0,0.062,0,12262,0,0.564,0,0.655,0,12.32,12.32,NA,NA,-26.428,NA,NA,NA
2021-01-11,"CN",2175952,4.586,1871033,4.662,27660,0,0,27660,1.271,3.718,0,0,0,0,27660,0,0,27660,1.271,13607,13607,0,0.625,49.194,3.351,1345,1345,0,0.062,10.969,13607,13607,0,0.625,10.969,3.351,13607,13607,0,0.625,0,0.625,0.727,0,0.727,1345,0,0.062,0,13607,0,0.625,0,0.727,0,10.969,10.969,NA,NA,-26.93,-18.927,-26.986,NA
2021-01-12,"CN",2175952,4.586,1871033,4.662,27660,0,0,27660,1.271,3.718,0,0,0,0,0,0,0,0,0,15328,15328,0,0.704,55.416,3.141,1721,1721,0,0.079,12.648,9471,9471,0,0.435,-30.396,2.716,15328,15328,0,0.704,0,0.704,0.819,0,0.819,1721,0,0.079,0,9471,0,0.435,0,0.506,0,12.648,-30.396,NA,NA,-31.509,-18.927,-31.584,NA
2021-01-13,"CN",2175952,4.586,1871033,4.662,41310,0,0,41310,1.898,3.743,13650,0,0,13650,13650,0,0,13650,0.627,22290,22290,0,1.024,53.958,3.832,6962,6962,0,0.32,45.42,15696,15696,0,0.721,65.727,3.844,22290,22290,0,1.024,0,1.024,1.191,0,1.191,6962,0,0.32,0,15696,0,0.721,0,0.839,0,45.42,65.727,NA,NA,-16.441,-18.382,-16.476,NA
2021-01-14,"CN",2175952,4.586,1871033,4.662,41310,0,1300,42610,1.958,3.74,0,0,1300,1300,13650,0,1300,14950,0.687,25159,25159,0,1.156,59.045,3.721,2869,2869,0,0.132,12.871,17829,17829,0,0.819,13.589,3.803,25159,25159,0,1.156,0,1.156,1.345,0,1.345,2869,0,0.132,0,17829,0,0.819,0,0.953,0,12.871,13.589,NA,NA,-18.862,-18.447,-18.877,NA
2021-01-15,"CN",2175952,4.586,1871033,4.662,41310,0,1300,42610,1.958,3.74,0,0,0,0,13650,0,1300,14950,0.687,30732,30732,0,1.412,72.124,3.997,5573,5573,0,0.256,22.151,21160,21160,0,0.972,18.683,4.31,30732,30732,0,1.412,0,1.412,1.643,0,1.643,5573,0,0.256,0,21160,0,0.972,0,1.131,0,22.151,18.683,NA,NA,-12.843,-18.447,-12.893,NA
2021-01-16,"CN",2175952,4.586,1871033,4.662,41310,0,1300,42610,1.958,NA,0,0,0,0,13650,0,1300,14950,0.687,34526,34417,218,1.587,NA,4.252,3794,3685,218,0.174,12.345,23609,23500,218,1.085,11.574,4.806,34417,34308,109,NA,NA,1.577,NA,NA,1.834,3685,109,0.169,0.005,23500,109,1.08,0.005,1.256,0.006,11.991,11.059,Inf,Inf,-7.283,NA,NA,NA
2021-01-17,"CN",2175952,4.586,1871033,4.662,41310,0,1300,42610,1.958,NA,0,0,0,0,13650,0,1300,14950,0.687,38319,38101,436,1.761,NA,4.482,3793,3684,218,0.174,10.986,26057,25839,436,1.197,10.369,5.301,38101,37883,218,NA,NA,1.741,NA,NA,2.025,3684,109,0.169,0.005,25839,218,1.187,0.01,1.381,0.012,10.704,9.953,100,100,-2.268,NA,NA,NA
2021-01-18,"CN",2175952,4.586,1871033,4.662,41310,0,1300,42610,1.958,3.727,0,0,0,0,13650,0,1300,14950,0.687,42113,41786,654,1.935,98.834,4.69,3794,3685,218,0.174,9.901,28506,28179,654,1.31,9.399,5.796,41786,41459,327,1.92,0.015,1.905,2.233,0.017,2.216,3685,109,0.169,0.005,28179,327,1.295,0.015,1.506,0.017,9.672,9.056,50,50,2.268,-18.731,1.749,200
2021-01-19,"CN",2175952,4.586,1871033,4.662,41310,0,1300,42610,1.958,3.727,0,0,0,0,13650,0,1300,14950,0.687,43209,42870,678,1.986,101.406,4.473,1096,1084,24,0.05,2.603,27881,27542,678,1.281,-2.193,5.832,42870,42531,339,1.97,0.016,1.955,2.291,0.018,2.273,1084,12,0.05,0.001,27542,339,1.266,0.016,1.472,0.018,2.594,-2.261,3.67,3.67,-2.464,-18.731,-2.282,-20
2021-01-20,"CN",2175952,4.586,1871033,4.662,46185,0,1300,47485,2.182,3.528,4875,0,0,4875,4875,0,1300,6175,0.284,43599,43260,678,2.004,91.816,4.25,390,390,0,0.018,0.903,21309,20970,678,0.979,-23.572,4.796,43260,42921,339,1.988,0.016,1.973,2.312,0.018,2.294,390,0,0.018,0,20970,339,0.964,0.016,1.121,0.018,0.91,-23.862,0,0,-7.327,-23.07,-6.623,-51.515
2021-01-21,"CN",2175952,4.586,1871033,4.662,46185,0,1300,47485,2.182,3.528,0,0,0,0,4875,0,0,4875,0.224,45482,43738,3488,2.09,95.782,4.122,1883,478,2810,0.087,4.319,20323,18579,3488,0.934,-4.627,4.758,43738,41994,1744,2.01,0.08,1.93,2.338,0.093,2.244,478,1405,0.022,0.065,18579,1744,0.854,0.08,0.993,0.093,1.105,-11.402,414.454,414.454,-10.118,-23.07,-9.541,-22.33
2021-01-22,"CN",2175952,4.586,1871033,4.662,46185,0,1300,47485,2.182,3.528,0,0,0,0,4875,0,0,4875,0.224,47068,44203,5730,2.163,99.122,4.037,1586,465,2242,0.073,3.487,16336,13471,5730,0.751,-19.618,4.116,44203,41338,2865,2.031,0.132,1.9,2.362,0.153,2.209,465,1121,0.021,0.052,13471,2865,0.619,0.132,0.72,0.153,1.063,-27.493,64.278,64.278,-11.971,-23.07,-12.192,-8.333
2021-01-23,"CN",2175952,4.586,1871033,4.662,46185,0,1300,47485,2.182,NA,0,0,0,0,4875,0,0,4875,0.224,48082,44841,6482,2.21,NA,4.041,1014,638,752,0.047,2.154,13556,10424,6264,0.623,-17.018,3.588,44841,41600,3241,NA,NA,1.912,NA,NA,2.223,638,376,0.029,0.017,10424,3132,0.479,0.144,0.557,0.167,1.443,-22.619,13.124,9.319,-11.884,NA,NA,NA
2021-01-24,"CN",2175952,4.586,1871033,4.662,46185,0,1300,47485,2.182,NA,0,0,0,0,4875,0,0,4875,0.224,49096,45479,7234,2.256,NA,4.045,1014,638,752,0.047,2.109,10777,7378,6798,0.495,-20.5,3.004,45479,41862,3617,NA,NA,1.924,NA,NA,2.237,638,376,0.029,0.017,7378,3399,0.339,0.156,0.394,0.182,1.423,-29.221,11.601,8.525,-11.797,NA,NA,NA
2021-01-25,"CN",2175952,4.586,1871033,4.662,46185,0,1300,47485,2.182,3.528,0,0,0,0,4875,0,0,4875,0.224,50110,46117,7986,2.303,105.528,4.049,1014,638,752,0.047,2.065,7997,4331,7332,0.368,-25.796,2.354,46117,42124,3993,2.119,0.184,1.936,2.465,0.213,2.251,638,376,0.029,0.017,4331,3666,0.199,0.168,0.231,0.196,1.403,-41.298,10.395,7.855,-11.71,-23.07,-12.474,-1.604
2021-01-26,"CN",2175952,4.586,1871033,4.662,46185,0,1300,47485,2.182,3.528,0,0,0,0,4875,0,0,4875,0.224,52768,47619,10298,2.425,111.126,4.087,2658,1502,2312,0.122,5.304,9559,4749,9620,0.439,19.532,2.94,47619,42470,5149,2.188,0.237,1.952,2.545,0.275,2.27,1502,1156,0.069,0.053,4749,4810,0.218,0.221,0.254,0.257,3.257,9.651,28.951,31.206,-10.881,-23.07,-11.057,-9.195
