"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
2021-01-05,"CT",7780479,16.397,6531658,16.276,120545,0,0,120545,1.549,16.204,120545,0,0,120545,120545,0,0,120545,1.549,11191,11191,0,0.144,9.284,8.031,11191,11191,0,0.144,0,11191,11191,0,0.144,0,8.031,11191,11191,0,0.144,0,0.144,0.171,0,0.171,11191,0,0.144,0,11191,0,0.144,0,0.171,0,0,0,0,0,-51.022,-1.177,-51.02,NA
2021-01-06,"CT",7780479,16.397,6531658,16.276,120545,0,0,120545,1.549,NA,0,0,0,0,120545,0,0,120545,1.549,17853,17853,0,0.229,NA,10.3,6662,6662,0,0.086,59.53,17853,17853,0,0.229,59.53,10.3,17853,17853,0,NA,NA,0.229,NA,NA,0.273,6662,0,0.086,0,17853,0,0.229,0,0.273,0,59.53,59.53,NA,NA,-37.184,NA,NA,NA
2021-01-07,"CT",7780479,16.397,6531658,16.276,120545,0,0,120545,1.549,16.204,0,0,0,0,120545,0,0,120545,1.549,24515,24515,0,0.315,20.337,11.825,6662,6662,0,0.086,37.316,24515,24515,0,0.315,37.316,11.825,24515,24515,0,0.315,0,0.315,0.375,0,0.375,6662,0,0.086,0,24515,0,0.315,0,0.375,0,37.316,37.316,NA,NA,-27.883,-1.177,-27.918,NA
2021-01-08,"CT",7780479,16.397,6531658,16.276,120545,0,0,120545,1.549,16.204,0,0,0,0,120545,0,0,120545,1.549,38826,38826,0,0.499,32.209,13.967,14311,14311,0,0.184,58.377,38826,38826,0,0.499,58.377,13.967,38826,38826,0,0.499,0,0.499,0.594,0,0.594,14311,0,0.184,0,38826,0,0.499,0,0.594,0,58.377,58.377,NA,NA,-14.82,-1.177,-14.846,NA
2021-01-09,"CT",7780479,16.397,6531658,16.276,120545,0,0,120545,1.549,NA,0,0,0,0,120545,0,0,120545,1.549,48686,48686,0,0.626,NA,15.182,9860,9860,0,0.127,25.395,48686,48686,0,0.626,25.395,15.182,48686,48686,0,NA,NA,0.626,NA,NA,0.745,9860,0,0.127,0,48686,0,0.626,0,0.745,0,25.395,25.395,NA,NA,-7.41,NA,NA,NA
2021-01-10,"CT",7780479,16.397,6531658,16.276,120545,0,0,120545,1.549,NA,0,0,0,0,120545,0,0,120545,1.549,58545,58545,0,0.752,NA,16.111,9859,9859,0,0.127,20.25,58545,58545,0,0.752,20.25,16.111,58545,58545,0,NA,NA,0.752,NA,NA,0.896,9859,0,0.127,0,58545,0,0.752,0,0.896,0,20.25,20.25,NA,NA,-1.744,NA,NA,NA
2021-01-11,"CT",7780479,16.397,6531658,16.276,120545,0,0,120545,1.549,16.204,0,0,0,0,120545,0,0,120545,1.549,68405,68405,0,0.879,56.746,16.845,9860,9860,0,0.127,16.842,68405,68405,0,0.879,16.842,16.845,68405,68405,0,0.879,0,0.879,1.047,0,1.047,9860,0,0.127,0,68405,0,0.879,0,1.047,0,16.842,16.842,NA,NA,2.732,-1.177,2.687,NA
2021-01-12,"CT",7780479,16.397,6531658,16.276,120545,0,0,120545,1.549,16.204,0,0,0,0,0,0,0,0,0,82785,82785,0,1.064,68.676,16.963,14380,14380,0,0.185,21.022,71594,71594,0,0.92,4.662,20.532,82785,82785,0,1.064,0,1.064,1.267,0,1.267,14380,0,0.185,0,71594,0,0.92,0,1.096,0,21.022,4.662,NA,NA,3.452,-1.177,3.401,NA
2021-01-13,"CT",7780479,16.397,6531658,16.276,180020,0,0,180020,2.314,16.311,59475,0,0,59475,59475,0,0,59475,0.764,92133,92133,0,1.184,51.179,15.84,9348,9348,0,0.12,11.292,74280,74280,0,0.955,3.752,18.192,92133,92133,0,1.184,0,1.184,1.411,0,1.411,9348,0,0.12,0,74280,0,0.955,0,1.137,0,11.292,3.752,NA,NA,-3.397,-0.524,-3.426,NA
2021-01-14,"CT",7780479,16.397,6531658,16.276,180020,0,5800,185820,2.388,16.309,0,0,5800,5800,59475,0,5800,65275,0.839,105587,105587,0,1.357,56.822,15.615,13454,13454,0,0.173,14.603,81072,81072,0,1.042,9.144,17.291,105587,105587,0,1.357,0,1.357,1.617,0,1.617,13454,0,0.173,0,81072,0,1.042,0,1.241,0,14.603,9.144,NA,NA,-4.769,-0.537,-4.772,NA
2021-01-15,"CT",7780479,16.397,6531658,16.276,180020,0,5800,185820,2.388,16.309,0,0,0,0,59475,0,5800,65275,0.839,122577,122577,0,1.575,65.965,15.941,16990,16990,0,0.218,16.091,83751,83751,0,1.076,3.304,17.058,122577,122577,0,1.575,0,1.575,1.877,0,1.877,16990,0,0.218,0,83751,0,1.076,0,1.282,0,16.091,3.304,NA,NA,-2.781,-0.537,-2.838,NA
2021-01-16,"CT",7780479,16.397,6531658,16.276,180020,0,5800,185820,2.388,NA,0,0,0,0,59475,0,5800,65275,0.839,130076,130020,111,1.672,NA,16.02,7499,7443,111,0.096,6.118,81390,81334,111,1.046,-2.819,16.567,130020,129964,56,NA,NA,1.67,NA,NA,1.99,7443,56,0.096,0.001,81334,56,1.045,0.001,1.245,0.001,6.072,-2.886,Inf,Inf,-2.299,NA,NA,NA
2021-01-17,"CT",7780479,16.397,6531658,16.276,180020,0,5800,185820,2.388,NA,0,0,0,0,59475,0,5800,65275,0.839,137574,137463,223,1.768,NA,16.092,7498,7443,112,0.096,5.764,79029,78918,223,1.016,-2.901,16.077,137463,137352,111,NA,NA,1.765,NA,NA,2.103,7443,55,0.096,0.001,78918,111,1.014,0.001,1.208,0.002,5.725,-2.97,98.214,98.214,-1.86,NA,NA,NA
2021-01-18,"CT",7780479,16.397,6531658,16.276,180020,0,5800,185820,2.388,16.253,0,0,0,0,59475,0,5800,65275,0.839,145073,144906,334,1.865,78.072,16.156,7499,7443,111,0.096,5.451,76668,76501,334,0.985,-2.988,15.588,144906,144739,167,1.862,0.002,1.86,2.219,0.003,2.216,7443,56,0.096,0.001,76501,167,0.983,0.002,1.171,0.003,5.415,-3.063,50.45,50.45,-1.47,-0.878,-1.325,-60
2021-01-19,"CT",7780479,16.397,6531658,16.276,180020,0,5800,185820,2.388,16.253,0,0,0,0,59475,0,5800,65275,0.839,156627,156195,864,2.013,84.29,16.212,11554,11289,530,0.148,7.964,73842,73410,864,0.949,-3.686,15.446,156195,155763,432,2.008,0.006,2.002,2.391,0.007,2.385,11289,265,0.145,0.003,73410,432,0.944,0.006,1.124,0.007,7.791,-4.04,158.683,158.683,-1.128,-0.878,-0.397,-70
2021-01-20,"CT",7780479,16.397,6531658,16.276,211220,0,5800,217020,2.789,16.122,31200,0,0,31200,31200,0,5800,37000,0.476,162830,161917,1826,2.093,75.03,15.871,6203,5722,962,0.08,3.96,70697,69784,1826,0.909,-4.259,15.912,161917,161004,913,2.081,0.012,2.069,2.479,0.014,2.465,5722,481,0.074,0.006,69784,913,0.897,0.012,1.068,0.014,3.663,-4.939,111.343,111.343,-3.208,-1.677,-2.255,-63.636
2021-01-21,"CT",7780479,16.397,6531658,16.276,211220,0,5800,217020,2.789,16.122,0,0,0,0,31200,0,0,31200,0.401,168054,165456,5196,2.16,77.437,15.232,5224,3539,3370,0.067,3.208,62467,59869,5196,0.803,-11.641,14.625,165456,162858,2598,2.127,0.033,2.093,2.533,0.04,2.493,3539,1685,0.045,0.022,59869,2598,0.769,0.033,0.917,0.04,2.186,-14.208,184.556,184.556,-7.105,-1.677,-4.275,-67.961
2021-01-22,"CT",7780479,16.397,6531658,16.276,211220,0,5800,217020,2.789,16.122,0,0,0,0,31200,0,0,31200,0.401,173147,169046,8202,2.225,79.784,14.852,5093,3590,3006,0.065,3.031,50570,46469,8202,0.65,-19.045,12.742,169046,164945,4101,2.173,0.053,2.12,2.588,0.063,2.525,3590,1503,0.046,0.019,46469,4101,0.597,0.053,0.711,0.063,2.17,-22.382,57.852,57.852,-9.422,-1.677,-6.053,-63.194
2021-01-23,"CT",7780479,16.397,6531658,16.276,211220,0,5800,217020,2.789,NA,0,0,0,0,31200,0,0,31200,0.401,177024,171799,10449,2.275,NA,14.879,3877,2753,2247,0.05,2.239,46948,41779,10338,0.603,-7.162,12.427,171799,166575,5225,NA,NA,2.141,NA,NA,2.55,2753,1124,0.035,0.014,41779,5169,0.537,0.066,0.64,0.079,1.629,-10.093,27.408,26.042,-9.258,NA,NA,NA
2021-01-24,"CT",7780479,16.397,6531658,16.276,211220,0,5800,217020,2.789,NA,0,0,0,0,31200,0,0,31200,0.401,180901,174553,12697,2.325,NA,14.905,3877,2754,2248,0.05,2.19,43327,37090,12474,0.557,-7.713,12.078,174553,168204,6348,NA,NA,2.162,NA,NA,2.575,2754,1123,0.035,0.014,37090,6237,0.477,0.08,0.568,0.095,1.603,-11.223,21.493,20.662,-9.099,NA,NA,NA
2021-01-25,"CT",7780479,16.397,6531658,16.276,211220,0,5800,217020,2.789,16.122,0,0,0,0,31200,0,0,31200,0.401,184778,177306,14944,2.375,85.143,14.93,3877,2753,2247,0.05,2.143,39705,32400,14610,0.51,-8.36,11.69,177306,169834,7472,2.279,0.096,2.183,2.715,0.114,2.6,2753,1124,0.035,0.014,32400,7305,0.416,0.094,0.496,0.112,1.577,-12.645,17.706,17.124,-8.947,-1.677,-5.865,-48.663
2021-01-26,"CT",7780479,16.397,6531658,16.276,211220,0,5800,217020,2.789,16.122,0,0,0,0,31200,0,0,31200,0.401,182713,173093,19240,2.348,84.192,14.15,-2065,-4213,4296,-0.027,-1.118,26086,16898,18376,0.335,-34.3,8.024,173093,163473,9620,2.225,0.124,2.101,2.65,0.147,2.503,-4213,2148,-0.054,0.028,16898,9188,0.217,0.118,0.259,0.141,-2.376,-47.846,28.747,25.777,-13.704,-1.677,-9.553,-52.49
2021-01-27,"CT",7780479,16.397,6531658,16.276,280250,0,5800,286050,3.677,16.17,69030,0,0,69030,69030,0,0,69030,0.887,201650,183224,36852,2.592,70.495,14.866,18937,10131,17612,0.243,10.364,38820,21307,35026,0.499,48.815,11.745,183224,164798,18426,2.355,0.237,2.118,2.805,0.282,2.523,10131,8806,0.13,0.113,21307,17513,0.274,0.225,0.326,0.268,5.853,26.092,91.538,90.607,-9.337,-1.384,-5.573,-35.068
2021-01-28,"CT",7780479,16.397,6531658,16.276,280250,0,5800,286050,3.677,16.17,0,0,0,0,69030,0,0,69030,0.887,208177,184915,46524,2.676,72.776,14.916,6527,1691,9672,0.084,3.237,40123,19459,41328,0.516,3.357,13.726,184915,161653,23262,2.377,0.299,2.078,2.831,0.356,2.475,1691,4836,0.022,0.062,19459,20664,0.25,0.266,0.298,0.316,0.923,-8.673,26.246,17.992,-9.032,-1.384,-6.233,-26.355
2021-01-29,"CT",7780479,16.397,6531658,16.276,280250,0,5800,286050,3.677,16.17,0,0,0,0,69030,0,0,69030,0.887,222572,187148,70848,2.861,77.809,15.098,14395,2233,24324,0.185,6.915,49425,18102,62646,0.635,23.184,16.028,187148,151724,35424,2.405,0.455,1.95,2.865,0.542,2.323,2233,12162,0.029,0.156,18102,31323,0.233,0.403,0.277,0.48,1.208,-6.974,52.283,51.582,-7.922,-1.384,-6.638,-14.313
2021-01-30,"CT",7780479,16.397,6531658,16.276,280250,0,5800,286050,3.677,NA,0,0,0,0,69030,0,0,69030,0.887,233900,190058,87683,3.006,NA,15.396,11328,2910,16835,0.146,5.09,56876,18259,77234,0.731,15.075,17.263,190058,146217,43841,NA,NA,1.879,NA,NA,2.239,2910,8417,0.037,0.108,18259,38616,0.235,0.496,0.28,0.591,1.555,0.867,23.761,23.283,-6.105,NA,NA,NA
2021-01-31,"CT",7780479,16.397,6531658,16.276,280250,0,5800,286050,3.677,NA,0,0,0,0,69030,0,0,69030,0.887,245227,192969,104517,3.152,NA,15.677,11327,2911,16834,0.146,4.843,64326,18416,91820,0.827,13.099,18.349,192969,140710,52259,NA,NA,1.809,NA,NA,2.154,2911,8418,0.037,0.108,18416,45911,0.237,0.59,0.282,0.703,1.532,0.86,19.201,18.891,-4.391,NA,NA,NA
