"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
2021-01-05,"EX",1063987,2.242,911213,2.271,21725,0,0,0,21725,2.042,2.92,21725,0,0,21725,21725,0,0,21725,2.042,1806,1806,0,0.17,8.313,1.296,1806,0.17,0,1806,0,1806,0.17,0,1.296,1806,0,1806,0.17,0,0.198,0,1806,0,0.17,0,1806,0,0.17,0,0.198,0,0,0,0,0,-42.194,30.241,-42.177,NA,2022-12-13,2024-04-02,2025-07-22,NA,NA,NA,NA,NA,NA
2021-01-06,"EX",1063987,2.242,911213,2.271,21725,0,0,0,21725,2.042,2.92,0,0,0,0,21725,0,0,21725,2.042,2558,2558,0,0.24,11.774,1.476,752,0.071,41.639,752,0,2558,0.24,41.639,1.476,2558,0,2558,0.24,0,0.281,0,752,0,0.071,0,2558,0,0.24,0,0.281,0,41.639,41.639,NA,NA,-34.166,30.241,-34.247,NA,2022-07-28,2023-08-15,2024-09-02,NA,NA,NA,NA,NA,NA
2021-01-07,"EX",1063987,2.242,911213,2.271,21725,0,0,0,21725,2.042,2.92,0,0,0,0,21725,0,0,21725,2.042,3309,3309,0,0.311,15.231,1.596,751,0.071,29.359,751,0,3309,0.311,29.359,1.596,3309,0,3309,0.311,0,0.363,0,751,0,0.071,0,3309,0,0.311,0,0.363,0,29.359,29.359,NA,NA,-28.814,30.241,-28.833,NA,2022-04-25,2023-03-11,2024-01-26,NA,NA,NA,NA,NA,NA
2021-01-08,"EX",1063987,2.242,911213,2.271,21725,0,0,0,21725,2.042,2.92,0,0,0,0,21725,0,0,21725,2.042,4727,4727,0,0.444,21.758,1.701,1418,0.133,42.853,1418,0,4727,0.444,42.853,1.701,4727,0,4727,0.444,0,0.519,0,1418,0,0.133,0,4727,0,0.444,0,0.519,0,42.853,42.853,NA,NA,-24.13,30.241,-24.232,NA,2021-12-25,2022-08-21,2023-04-17,NA,NA,NA,NA,NA,NA
2021-01-09,"EX",1063987,2.242,911213,2.271,21725,0,0,0,21725,2.042,2.92,0,0,0,0,21725,0,0,21725,2.042,6252,6252,0,0.588,28.778,1.95,1525,0.143,32.261,1525,0,6252,0.588,32.261,1.95,6252,0,6252,0.588,0,0.686,0,1525,0,0.143,0,6252,0,0.588,0,0.686,0,32.261,32.261,NA,NA,-13.024,30.241,-13.018,NA,2021-11-08,2022-06-03,2022-12-27,NA,NA,NA,NA,NA,NA
2021-01-10,"EX",1063987,2.242,911213,2.271,21725,0,0,0,21725,2.042,2.92,0,0,0,0,21725,0,0,21725,2.042,7778,7778,0,0.731,35.802,2.14,1526,0.143,24.408,1526,0,7778,0.731,24.408,2.14,7778,0,7778,0.731,0,0.854,0,1526,0,0.143,0,7778,0,0.731,0,0.854,0,24.408,24.408,NA,NA,-4.55,30.241,-4.569,NA,2021-10-04,2022-04-04,2022-10-04,NA,NA,NA,NA,NA,NA
2021-01-11,"EX",1063987,2.242,911213,2.271,21725,0,0,0,21725,2.042,2.92,0,0,0,0,21725,0,0,21725,2.042,9303,9303,0,0.874,42.822,2.291,1525,0.143,19.607,1525,0,9303,0.874,19.607,2.291,9303,0,9303,0.874,0,1.021,0,1525,0,0.143,0,9303,0,0.874,0,1.021,0,19.607,19.607,NA,NA,2.186,30.241,2.103,NA,2021-09-06,2022-02-16,2022-07-30,NA,NA,NA,NA,NA,NA
2021-01-12,"EX",1063987,2.242,911213,2.271,21725,0,0,0,21725,2.042,2.92,0,0,0,0,0,0,0,0,0,11346,11346,0,1.066,52.226,2.325,2043,0.192,21.961,2043,0,9540,0.897,2.548,2.736,11346,0,11346,1.066,0,1.245,0,2043,0,0.192,0,9540,0,0.897,0,1.047,0,21.961,2.548,NA,NA,3.702,30.241,3.596,NA,2021-10-14,2022-04-23,2022-10-30,NA,NA,NA,NA,NA,NA
2021-01-13,"EX",1063987,2.242,911213,2.271,32450,0,0,0,32450,3.05,2.94,10725,0,0,10725,10725,0,0,10725,1.008,14293,14293,0,1.343,44.046,2.457,2947,0.277,25.974,2947,0,11735,1.103,23.008,2.874,14293,0,14293,1.343,0,1.569,0,2947,0,0.277,0,11735,0,1.103,0,1.288,0,25.974,23.008,NA,NA,9.59,31.133,9.543,NA,2021-09-04,2022-02-13,2022-07-26,NA,NA,NA,NA,NA,NA
2021-01-14,"EX",1063987,2.242,911213,2.271,32450,0,1000,0,33450,3.144,2.936,0,0,1000,1000,10725,0,1000,11725,1.102,17862,17862,0,1.679,53.399,2.642,3569,0.335,24.97,3569,0,14553,1.368,24.014,3.104,17862,0,17862,1.679,0,1.96,0,3569,0,0.335,0,14553,0,1.368,0,1.597,0,24.97,24.014,NA,NA,17.841,30.955,17.825,NA,2021-08-04,2021-12-24,2022-05-14,NA,NA,NA,NA,NA,NA
