"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
2021-01-05,"GA",2701819,5.694,2362643,5.887,37555,0,0,0,37555,1.39,5.048,37555,0,0,37555,37555,0,0,37555,1.39,12012,12012,0,0.445,31.985,8.621,12012,0.445,0,12012,0,12012,0.445,0,8.621,12012,0,12012,0.445,0,0.508,0,12012,0,0.445,0,12012,0,0.445,0,0.508,0,0,0,0,0,51.405,-11.345,51.361,NA,2022-12-13,2024-04-02,2025-07-22,NA,NA,NA,NA,NA,NA
2021-01-06,"GA",2701819,5.694,2362643,5.887,37555,0,0,0,37555,1.39,5.048,0,0,0,0,37555,0,0,37555,1.39,16138,16138,0,0.597,42.972,9.311,4126,0.153,34.349,4126,0,16138,0.597,34.349,9.311,16138,0,16138,0.597,0,0.683,0,4126,0,0.153,0,16138,0,0.597,0,0.683,0,34.349,34.349,NA,NA,63.523,-11.345,63.562,NA,2022-07-28,2023-08-15,2024-09-02,NA,NA,NA,NA,NA,NA
2021-01-07,"GA",2701819,5.694,2362643,5.887,37555,0,0,0,37555,1.39,5.048,0,0,0,0,37555,0,0,37555,1.39,20265,20265,0,0.75,53.961,9.775,4127,0.153,25.573,4127,0,20265,0.75,25.573,9.775,20265,0,20265,0.75,0,0.858,0,4127,0,0.153,0,20265,0,0.75,0,0.858,0,25.573,25.573,NA,NA,71.672,-11.345,71.625,NA,2022-04-25,2023-03-11,2024-01-26,NA,NA,NA,NA,NA,NA
2021-01-08,"GA",2701819,5.694,2362643,5.887,37555,0,0,0,37555,1.39,5.048,0,0,0,0,37555,0,0,37555,1.39,24750,24750,0,0.916,65.903,8.904,4485,0.166,22.132,4485,0,24750,0.916,22.132,8.904,24750,0,24750,0.916,0,1.048,0,4485,0,0.166,0,24750,0,0.916,0,1.048,0,22.132,22.132,NA,NA,56.375,-11.345,56.314,NA,2021-12-25,2022-08-21,2023-04-17,NA,NA,NA,NA,NA,NA
2021-01-09,"GA",2701819,5.694,2362643,5.887,37555,0,0,0,37555,1.39,5.048,0,0,0,0,37555,0,0,37555,1.39,26639,26639,0,0.986,70.933,8.307,1889,0.07,7.632,1889,0,26639,0.986,7.632,8.307,26639,0,26639,0.986,0,1.128,0,1889,0,0.07,0,26639,0,0.986,0,1.128,0,7.632,7.632,NA,NA,45.89,-11.345,45.858,NA,2021-11-08,2022-06-03,2022-12-27,NA,NA,NA,NA,NA,NA
2021-01-10,"GA",2701819,5.694,2362643,5.887,37555,0,0,0,37555,1.39,5.048,0,0,0,0,37555,0,0,37555,1.39,28529,28529,0,1.056,75.966,7.851,1890,0.07,7.095,1890,0,28529,1.056,7.095,7.851,28529,0,28529,1.056,0,1.208,0,1890,0,0.07,0,28529,0,1.056,0,1.208,0,7.095,7.095,NA,NA,37.882,-11.345,37.859,NA,2021-10-04,2022-04-04,2022-10-04,NA,NA,NA,NA,NA,NA
2021-01-11,"GA",2701819,5.694,2362643,5.887,37555,0,0,0,37555,1.39,5.048,0,0,0,0,37555,0,0,37555,1.39,30418,30418,0,1.126,80.996,7.49,1889,0.07,6.621,1889,0,30418,1.126,6.621,7.49,30418,0,30418,1.126,0,1.287,0,1889,0,0.07,0,30418,0,1.126,0,1.287,0,6.621,6.621,NA,NA,31.542,-11.345,31.542,NA,2021-09-06,2022-02-16,2022-07-30,NA,NA,NA,NA,NA,NA
2021-01-12,"GA",2701819,5.694,2362643,5.887,37555,0,0,0,37555,1.39,5.048,0,0,0,0,0,0,0,0,0,33346,33346,0,1.234,88.792,6.833,2928,0.108,9.626,2928,0,21334,0.79,-29.864,6.118,33346,0,33346,1.234,0,1.411,0,2928,0,0.108,0,21334,0,0.79,0,0.903,0,9.626,-29.864,NA,NA,20.004,-11.345,19.922,NA,2021-10-14,2022-04-23,2022-10-30,NA,NA,NA,NA,NA,NA
2021-01-13,"GA",2701819,5.694,2362643,5.887,56080,0,0,0,56080,2.076,5.081,18525,0,0,18525,18525,0,0,18525,0.686,37745,37745,0,1.397,67.306,6.489,4399,0.163,13.192,4399,0,21607,0.8,1.28,5.292,37745,0,37745,1.397,0,1.598,0,4399,0,0.163,0,21607,0,0.8,0,0.915,0,13.192,1.28,NA,NA,13.962,-10.766,13.948,NA,2021-09-04,2022-02-13,2022-07-26,NA,NA,NA,NA,NA,NA
2021-01-14,"GA",2701819,5.694,2362643,5.887,56080,0,1800,0,57880,2.142,5.08,0,0,1800,1800,18525,0,1800,20325,0.752,44014,44014,0,1.629,76.044,6.509,6269,0.232,16.609,6269,0,23749,0.879,9.913,5.065,44014,0,44014,1.629,0,1.863,0,6269,0,0.232,0,23749,0,0.879,0,1.005,0,16.609,9.913,NA,NA,14.313,-10.783,14.316,NA,2021-08-04,2021-12-24,2022-05-14,NA,NA,NA,NA,NA,NA
