"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
2021-01-05,"IB",1171543,2.469,986279,2.458,12840,0,0,0,12840,1.096,1.726,12840,0,0,12840,12840,0,0,12840,1.096,2656,2656,0,0.227,20.685,1.906,2656,0.227,0,2656,0,2656,0.227,0,1.906,2656,0,2656,0.227,0,0.269,0,2656,0,0.227,0,2656,0,0.227,0,0.269,0,0,0,0,0,-22.803,-30.093,-22.789,NA,2022-12-13,2024-04-02,2025-07-22,NA,NA,NA,NA,NA,NA
2021-01-06,"IB",1171543,2.469,986279,2.458,12840,0,0,0,12840,1.096,1.726,0,0,0,0,12840,0,0,12840,1.096,2923,2923,0,0.25,22.765,1.686,267,0.023,10.053,267,0,2923,0.25,10.053,1.686,2923,0,2923,0.25,0,0.296,0,267,0,0.023,0,2923,0,0.25,0,0.296,0,10.053,10.053,NA,NA,-31.713,-30.093,-31.507,NA,2022-07-28,2023-08-15,2024-09-02,NA,NA,NA,NA,NA,NA
2021-01-07,"IB",1171543,2.469,986279,2.458,12840,0,0,0,12840,1.096,1.726,0,0,0,0,12840,0,0,12840,1.096,3190,3190,0,0.272,24.844,1.539,267,0.023,9.134,267,0,3190,0.272,9.134,1.539,3190,0,3190,0.272,0,0.323,0,267,0,0.023,0,3190,0,0.272,0,0.323,0,9.134,9.134,NA,NA,-37.667,-30.093,-37.757,NA,2022-04-25,2023-03-11,2024-01-26,NA,NA,NA,NA,NA,NA
2021-01-08,"IB",1171543,2.469,986279,2.458,12840,0,0,0,12840,1.096,1.726,0,0,0,0,12840,0,0,12840,1.096,4257,4257,0,0.363,33.154,1.531,1067,0.091,33.448,1067,0,4257,0.363,33.448,1.531,4257,0,4257,0.363,0,0.432,0,1067,0,0.091,0,4257,0,0.363,0,0.432,0,33.448,33.448,NA,NA,-37.991,-30.093,-38.055,NA,2021-12-25,2022-08-21,2023-04-17,NA,NA,NA,NA,NA,NA
2021-01-09,"IB",1171543,2.469,986279,2.458,12840,0,0,0,12840,1.096,1.726,0,0,0,0,12840,0,0,12840,1.096,4389,4389,0,0.375,34.182,1.369,132,0.011,3.101,132,0,4389,0.375,3.101,1.369,4389,0,4389,0.375,0,0.445,0,132,0,0.011,0,4389,0,0.375,0,0.445,0,3.101,3.101,NA,NA,-44.552,-30.093,-44.527,NA,2021-11-08,2022-06-03,2022-12-27,NA,NA,NA,NA,NA,NA
2021-01-10,"IB",1171543,2.469,986279,2.458,12840,0,0,0,12840,1.096,1.726,0,0,0,0,12840,0,0,12840,1.096,4520,4520,0,0.386,35.202,1.244,131,0.011,2.985,131,0,4520,0.386,2.985,1.244,4520,0,4520,0.386,0,0.458,0,131,0,0.011,0,4520,0,0.386,0,0.458,0,2.985,2.985,NA,NA,-49.615,-30.093,-49.608,NA,2021-10-04,2022-04-04,2022-10-04,NA,NA,NA,NA,NA,NA
2021-01-11,"IB",1171543,2.469,986279,2.458,12840,0,0,0,12840,1.096,1.726,0,0,0,0,12840,0,0,12840,1.096,4652,4652,0,0.397,36.231,1.146,132,0.011,2.92,132,0,4652,0.397,2.92,1.146,4652,0,4652,0.397,0,0.472,0,132,0,0.011,0,4652,0,0.397,0,0.472,0,2.92,2.92,NA,NA,-53.584,-30.093,-53.621,NA,2021-09-06,2022-02-16,2022-07-30,NA,NA,NA,NA,NA,NA
2021-01-12,"IB",1171543,2.469,986279,2.458,12840,0,0,0,12840,1.096,1.726,0,0,0,0,0,0,0,0,0,4835,4835,0,0.413,37.656,0.991,183,0.016,3.934,183,0,2179,0.186,-53.16,0.625,4835,0,4835,0.413,0,0.49,0,183,0,0.016,0,2179,0,0.186,0,0.221,0,3.934,-53.16,NA,NA,-59.862,-30.093,-59.864,NA,2021-10-14,2022-04-23,2022-10-30,NA,NA,NA,NA,NA,NA
2021-01-13,"IB",1171543,2.469,986279,2.458,12840,0,0,0,12840,1.096,1.163,0,0,0,0,0,0,0,0,0,4931,4931,0,0.421,38.403,0.848,96,0.008,1.986,96,0,2008,0.171,-7.848,0.492,4931,0,4931,0.421,0,0.5,0,96,0,0.008,0,2008,0,0.171,0,0.204,0,1.986,-7.848,NA,NA,-65.654,-52.896,-65.661,NA,2021-09-04,2022-02-13,2022-07-26,NA,NA,NA,NA,NA,NA
2021-01-14,"IB",1171543,2.469,986279,2.458,12840,0,600,0,13440,1.147,1.18,0,0,600,600,0,0,600,600,0.051,7552,7552,0,0.645,56.19,1.117,2621,0.224,53.154,2621,0,4362,0.372,117.231,0.93,7552,0,7552,0.645,0,0.766,0,2621,0,0.224,0,4362,0,0.372,0,0.442,0,53.154,117.231,NA,NA,-54.759,-52.207,-54.737,NA,2021-08-04,2021-12-24,2022-05-14,NA,NA,NA,NA,NA,NA
