"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
2021-01-05,"MC",1511251,3.185,1237479,3.084,25685,0,0,25685,1.7,3.453,25685,0,0,25685,25685,0,0,25685,1.7,4949,4949,0,0.327,19.268,3.552,4949,0.327,0,4949,0,4949,0.327,0,3.552,4949,0,4949,0.327,0,0.4,0,4949,0,0.327,0,4949,0,0.327,0,0.4,0,0,0,0,0,11.523,8.414,11.224,NA,2022-12-13,2024-04-02,2025-07-22,NA,NA,NA,NA,NA,NA
2021-01-06,"MC",1511251,3.185,1237479,3.084,25685,0,0,25685,1.7,3.453,0,0,0,0,25685,0,0,25685,1.7,6118,6118,0,0.405,23.819,3.53,1169,0.077,23.621,1169,0,6118,0.405,23.621,3.53,6118,0,6118,0.405,0,0.494,0,1169,0,0.077,0,6118,0,0.405,0,0.494,0,23.621,23.621,NA,NA,10.832,8.414,10.959,NA,2022-07-28,2023-08-15,2024-09-02,NA,NA,NA,NA,NA,NA
2021-01-07,"MC",1511251,3.185,1237479,3.084,25685,0,0,25685,1.7,3.453,0,0,0,0,25685,0,0,25685,1.7,7287,7287,0,0.482,28.371,3.515,1169,0.077,19.108,1169,0,7287,0.482,19.108,3.515,7287,0,7287,0.482,0,0.589,0,1169,0,0.077,0,7287,0,0.482,0,0.589,0,19.108,19.108,NA,NA,10.361,8.414,10.297,NA,2022-04-25,2023-03-11,2024-01-26,NA,NA,NA,NA,NA,NA
2021-01-08,"MC",1511251,3.185,1237479,3.084,25685,0,0,25685,1.7,3.453,0,0,0,0,25685,0,0,25685,1.7,8958,8958,0,0.593,34.876,3.223,1671,0.111,22.931,1671,0,8958,0.593,22.931,3.223,8958,0,8958,0.593,0,0.724,0,1671,0,0.111,0,8958,0,0.593,0,0.724,0,22.931,22.931,NA,NA,1.193,8.414,1.195,NA,2021-12-25,2022-08-21,2023-04-17,NA,NA,NA,NA,NA,NA
2021-01-09,"MC",1511251,3.185,1237479,3.084,25685,0,0,25685,1.7,3.453,0,0,0,0,25685,0,0,25685,1.7,9426,9426,0,0.624,36.698,2.939,468,0.031,5.224,468,0,9426,0.624,5.224,2.939,9426,0,9426,0.624,0,0.762,0,468,0,0.031,0,9426,0,0.624,0,0.762,0,5.224,5.224,NA,NA,-7.724,8.414,-7.692,NA,2021-11-08,2022-06-03,2022-12-27,NA,NA,NA,NA,NA,NA
2021-01-10,"MC",1511251,3.185,1237479,3.084,25685,0,0,25685,1.7,3.453,0,0,0,0,25685,0,0,25685,1.7,9893,9893,0,0.655,38.517,2.722,467,0.031,4.954,467,0,9893,0.655,4.954,2.722,9893,0,9893,0.655,0,0.799,0,467,0,0.031,0,9893,0,0.655,0,0.799,0,4.954,4.954,NA,NA,-14.537,8.414,-14.491,NA,2021-10-04,2022-04-04,2022-10-04,NA,NA,NA,NA,NA,NA
2021-01-11,"MC",1511251,3.185,1237479,3.084,25685,0,0,25685,1.7,3.453,0,0,0,0,25685,0,0,25685,1.7,10361,10361,0,0.686,40.339,2.551,468,0.031,4.731,468,0,10361,0.686,4.731,2.551,10361,0,10361,0.686,0,0.837,0,468,0,0.031,0,10361,0,0.686,0,0.837,0,4.731,4.731,NA,NA,-19.906,8.414,-19.86,NA,2021-09-06,2022-02-16,2022-07-30,NA,NA,NA,NA,NA,NA
2021-01-12,"MC",1511251,3.185,1237479,3.084,25685,0,0,25685,1.7,3.453,0,0,0,0,0,0,0,0,0,16191,16191,0,1.071,63.037,3.318,5830,0.386,56.269,5830,0,11242,0.744,8.503,3.224,16191,0,16191,1.071,0,1.308,0,5830,0,0.386,0,11242,0,0.744,0,0.908,0,56.269,8.503,NA,NA,4.176,8.414,4.082,NA,2021-10-14,2022-04-23,2022-10-30,NA,NA,NA,NA,NA,NA
2021-01-13,"MC",1511251,3.185,1237479,3.084,38360,0,0,38360,2.538,3.476,12675,0,0,12675,12675,0,0,12675,0.839,19905,19905,0,1.317,51.89,3.422,3714,0.246,22.939,3714,0,13787,0.912,22.638,3.377,19905,0,19905,1.317,0,1.609,0,3714,0,0.246,0,13787,0,0.912,0,1.114,0,22.939,22.638,NA,NA,7.441,9.137,7.423,NA,2021-09-04,2022-02-13,2022-07-26,NA,NA,NA,NA,NA,NA
2021-01-14,"MC",1511251,3.185,1237479,3.084,38360,0,1200,39560,2.618,3.472,0,0,1200,1200,12675,0,1200,13875,0.918,21739,21739,0,1.438,54.952,3.215,1834,0.121,9.214,1834,0,14452,0.956,4.823,3.082,21739,0,21739,1.438,0,1.757,0,1834,0,0.121,0,14452,0,0.956,0,1.168,0,9.214,4.823,NA,NA,0.942,9.011,0.912,NA,2021-08-04,2021-12-24,2022-05-14,NA,NA,NA,NA,NA,NA
