"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
2021-01-05,"MD",6779888,14.288,5695623,14.193,98790,0,0,98790,1.457,13.28,98790,0,0,98790,98790,0,0,98790,1.457,5335,5335,0,0.079,5.4,3.829,5335,5335,0,0.079,0,5335,5335,0,0.079,0,3.829,5335,5335,0,0.079,0,0.079,0.094,0,0.094,5335,0,0.079,0,5335,0,0.079,0,0.094,0,0,0,0,0,-73.201,-7.055,-73.129,NA
2021-01-06,"MD",6779888,14.288,5695623,14.193,98790,0,0,98790,1.457,NA,0,0,0,0,98790,0,0,98790,1.457,8336,8336,0,0.123,NA,4.809,3001,3001,0,0.044,56.251,8336,8336,0,0.123,56.251,4.809,8336,8336,0,NA,NA,0.123,NA,NA,0.146,3001,0,0.044,0,8336,0,0.123,0,0.146,0,56.251,56.251,NA,NA,-66.342,NA,NA,NA
2021-01-07,"MD",6779888,14.288,5695623,14.193,98790,0,0,98790,1.457,13.28,0,0,0,0,98790,0,0,98790,1.457,11337,11337,0,0.167,11.476,5.468,3001,3001,0,0.044,36,11337,11337,0,0.167,36,5.468,11337,11337,0,0.167,0,0.167,0.199,0,0.199,3001,0,0.044,0,11337,0,0.167,0,0.199,0,36,36,NA,NA,-61.73,-7.055,-61.785,NA
2021-01-08,"MD",6779888,14.288,5695623,14.193,98790,0,0,98790,1.457,13.28,0,0,0,0,98790,0,0,98790,1.457,14152,14152,0,0.209,14.325,5.091,2815,2815,0,0.042,24.83,14152,14152,0,0.209,24.83,5.091,14152,14152,0,0.209,0,0.209,0.248,0,0.248,2815,0,0.042,0,14152,0,0.209,0,0.248,0,24.83,24.83,NA,NA,-64.369,-7.055,-64.334,NA
2021-01-09,"MD",6779888,14.288,5695623,14.193,98790,0,0,98790,1.457,NA,0,0,0,0,98790,0,0,98790,1.457,17734,17734,0,0.262,NA,5.53,3582,3582,0,0.053,25.311,17734,17734,0,0.262,25.311,5.53,17734,17734,0,NA,NA,0.262,NA,NA,0.311,3582,0,0.053,0,17734,0,0.262,0,0.311,0,25.311,25.311,NA,NA,-61.296,NA,NA,NA
2021-01-10,"MD",6779888,14.288,5695623,14.193,98790,0,0,98790,1.457,NA,0,0,0,0,98790,0,0,98790,1.457,21315,21315,0,0.314,NA,5.866,3581,3581,0,0.053,20.193,21315,21315,0,0.314,20.193,5.866,21315,21315,0,NA,NA,0.314,NA,NA,0.374,3581,0,0.053,0,21315,0,0.314,0,0.374,0,20.193,20.193,NA,NA,-58.945,NA,NA,NA
2021-01-11,"MD",6779888,14.288,5695623,14.193,98790,0,0,98790,1.457,13.28,0,0,0,0,98790,0,0,98790,1.457,24897,24897,0,0.367,25.202,6.131,3582,3582,0,0.053,16.805,24897,24897,0,0.367,16.805,6.131,24897,24897,0,0.367,0,0.367,0.437,0,0.437,3582,0,0.053,0,24897,0,0.367,0,0.437,0,16.805,16.805,NA,NA,-57.09,-7.055,-57.126,NA
2021-01-12,"MD",6779888,14.288,5695623,14.193,98790,0,0,98790,1.457,13.28,0,0,0,0,0,0,0,0,0,35949,35949,0,0.53,36.389,7.366,11052,11052,0,0.163,44.391,30614,30614,0,0.452,22.963,8.779,35949,35949,0,0.53,0,0.53,0.631,0,0.631,11052,0,0.163,0,30614,0,0.452,0,0.538,0,44.391,22.963,NA,NA,-48.446,-7.055,-48.494,NA
2021-01-13,"MD",6779888,14.288,5695623,14.193,147540,0,0,147540,2.176,13.368,48750,0,0,48750,48750,0,0,48750,0.719,49228,49228,0,0.726,33.366,8.464,13279,13279,0,0.196,36.938,40892,40892,0,0.603,33.573,10.015,49228,49228,0,0.726,0,0.726,0.864,0,0.864,13279,0,0.196,0,40892,0,0.603,0,0.718,0,36.938,33.573,NA,NA,-40.761,-6.439,-40.783,NA
2021-01-14,"MD",6779888,14.288,5695623,14.193,147540,0,4700,152240,2.245,13.361,0,0,4700,4700,48750,0,4700,53450,0.788,63385,63385,0,0.935,41.635,9.374,14157,14157,0,0.209,28.758,52048,52048,0,0.768,27.282,11.101,63385,63385,0,0.935,0,0.935,1.113,0,1.113,14157,0,0.209,0,52048,0,0.768,0,0.914,0,28.758,27.282,NA,NA,-34.392,-6.488,-34.386,NA
