"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
2021-01-05,"ML",87076,0.184,66178,0.165,1005,0,0,1005,1.154,0.135,1005,0,0,1005,1005,0,0,1005,1.154,341,341,0,0.392,33.93,0.245,341,341,0,0.392,0,341,341,0,0.392,0,0.245,341,341,0,0.392,0,0.392,0.515,0,0.515,341,0,0.392,0,341,0,0.392,0,0.515,0,0,0,0,0,33.152,-26.63,33.333,NA
2021-01-06,"ML",87076,0.184,66178,0.165,1005,0,0,1005,1.154,NA,0,0,0,0,1005,0,0,1005,1.154,384,384,0,0.441,NA,0.222,43,43,0,0.049,12.61,384,384,0,0.441,12.61,0.222,384,384,0,NA,NA,0.441,NA,NA,0.58,43,0,0.049,0,384,0,0.441,0,0.58,0,12.61,12.61,NA,NA,20.652,NA,NA,NA
2021-01-07,"ML",87076,0.184,66178,0.165,1005,0,0,1005,1.154,0.135,0,0,0,0,1005,0,0,1005,1.154,426,426,0,0.489,42.388,0.205,42,42,0,0.048,10.938,426,426,0,0.489,10.938,0.205,426,426,0,0.489,0,0.489,0.644,0,0.644,42,0,0.048,0,426,0,0.489,0,0.644,0,10.938,10.938,NA,NA,11.413,-26.63,11.899,NA
2021-01-08,"ML",87076,0.184,66178,0.165,1005,0,0,1005,1.154,0.135,0,0,0,0,1005,0,0,1005,1.154,673,673,0,0.773,66.965,0.242,247,247,0,0.284,57.981,673,673,0,0.773,57.981,0.242,673,673,0,0.773,0,0.773,1.017,0,1.017,247,0,0.284,0,673,0,0.773,0,1.017,0,57.981,57.981,NA,NA,31.522,-26.63,31.911,NA
2021-01-09,"ML",87076,0.184,66178,0.165,1005,0,0,1005,1.154,NA,0,0,0,0,1005,0,0,1005,1.154,726,726,0,0.834,NA,0.226,53,53,0,0.061,7.875,726,726,0,0.834,7.875,0.226,726,726,0,NA,NA,0.834,NA,NA,1.097,53,0,0.061,0,726,0,0.834,0,1.097,0,7.875,7.875,NA,NA,22.826,NA,NA,NA
2021-01-10,"ML",87076,0.184,66178,0.165,1005,0,0,1005,1.154,NA,0,0,0,0,1005,0,0,1005,1.154,779,779,0,0.895,NA,0.214,53,53,0,0.061,7.3,779,779,0,0.895,7.3,0.214,779,779,0,NA,NA,0.895,NA,NA,1.177,53,0,0.061,0,779,0,0.895,0,1.177,0,7.3,7.3,NA,NA,16.304,NA,NA,NA
2021-01-11,"ML",87076,0.184,66178,0.165,1005,0,0,1005,1.154,0.135,0,0,0,0,1005,0,0,1005,1.154,832,832,0,0.955,82.786,0.205,53,53,0,0.061,6.804,832,832,0,0.955,6.804,0.205,832,832,0,0.955,0,0.955,1.257,0,1.257,53,0,0.061,0,832,0,0.955,0,1.257,0,6.804,6.804,NA,NA,11.413,-26.63,11.565,NA
2021-01-12,"ML",87076,0.184,66178,0.165,1005,0,0,1005,1.154,0.135,0,0,0,0,0,0,0,0,0,1005,1005,0,1.154,100,0.206,173,173,0,0.199,20.793,664,664,0,0.763,-20.192,0.19,1005,1005,0,1.154,0,1.154,1.519,0,1.519,173,0,0.199,0,664,0,0.763,0,1.003,0,20.793,-20.192,NA,NA,11.957,-26.63,12.148,NA
2021-01-13,"ML",87076,0.184,66178,0.165,1005,0,0,1005,1.154,0.091,0,0,0,0,0,0,0,0,0,1005,1005,0,1.154,100,0.173,0,0,0,0,0,621,621,0,0.713,-6.476,0.152,1005,1005,0,1.154,0,1.154,1.519,0,1.519,0,0,0,0,621,0,0.713,0,0.938,0,0,-6.476,NA,NA,-5.978,-50.543,-5.873,NA
2021-01-14,"ML",87076,0.184,66178,0.165,1005,0,200,1205,1.384,0.106,0,0,200,200,0,0,200,200,0.23,1098,1098,0,1.261,91.12,0.162,93,93,0,0.107,9.254,672,672,0,0.772,8.213,0.143,1098,1098,0,1.261,0,1.261,1.659,0,1.659,93,0,0.107,0,672,0,0.772,0,1.015,0,9.254,8.213,NA,NA,-11.957,-42.391,-11.509,NA
