"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
2021-01-05,"NC",661197,1.393,552935,1.378,11850,0,0,11850,1.792,1.593,11850,0,0,11850,11850,0,0,11850,1.792,2651,2651,0,0.401,22.371,1.903,2651,2651,0,0.401,0,2651,2651,0,0.401,0,1.903,2651,2651,0,0.401,0,0.401,0.479,0,0.479,2651,0,0.401,0,2651,0,0.401,0,0.479,0,0,0,0,0,36.612,14.358,36.395,NA
2021-01-06,"NC",661197,1.393,552935,1.378,11850,0,0,11850,1.792,NA,0,0,0,0,11850,0,0,11850,1.792,2806,2806,0,0.424,NA,1.619,155,155,0,0.023,5.847,2806,2806,0,0.424,5.847,1.619,2806,2806,0,NA,NA,0.424,NA,NA,0.507,155,0,0.023,0,2806,0,0.424,0,0.507,0,5.847,5.847,NA,NA,16.224,NA,NA,NA
2021-01-07,"NC",661197,1.393,552935,1.378,11850,0,0,11850,1.792,1.593,0,0,0,0,11850,0,0,11850,1.792,2960,2960,0,0.448,24.979,1.428,154,154,0,0.023,5.488,2960,2960,0,0.448,5.488,1.428,2960,2960,0,0.448,0,0.448,0.535,0,0.535,154,0,0.023,0,2960,0,0.448,0,0.535,0,5.488,5.488,NA,NA,2.513,14.358,2.517,NA
2021-01-08,"NC",661197,1.393,552935,1.378,11850,0,0,11850,1.792,1.593,0,0,0,0,11850,0,0,11850,1.792,3703,3703,0,0.56,31.249,1.332,743,743,0,0.112,25.101,3703,3703,0,0.56,25.101,1.332,3703,3703,0,0.56,0,0.56,0.67,0,0.67,743,0,0.112,0,3703,0,0.56,0,0.67,0,25.101,25.101,NA,NA,-4.379,14.358,-4.437,NA
2021-01-09,"NC",661197,1.393,552935,1.378,11850,0,0,11850,1.792,NA,0,0,0,0,11850,0,0,11850,1.792,4291,4291,0,0.649,NA,1.338,588,588,0,0.089,15.879,4291,4291,0,0.649,15.879,1.338,4291,4291,0,NA,NA,0.649,NA,NA,0.776,588,0,0.089,0,4291,0,0.649,0,0.776,0,15.879,15.879,NA,NA,-3.948,NA,NA,NA
2021-01-10,"NC",661197,1.393,552935,1.378,11850,0,0,11850,1.792,NA,0,0,0,0,11850,0,0,11850,1.792,4880,4880,0,0.738,NA,1.343,589,589,0,0.089,13.726,4880,4880,0,0.738,13.726,1.343,4880,4880,0,NA,NA,0.738,NA,NA,0.883,589,0,0.089,0,4880,0,0.738,0,0.883,0,13.726,13.726,NA,NA,-3.589,NA,NA,NA
2021-01-11,"NC",661197,1.393,552935,1.378,11850,0,0,11850,1.792,1.593,0,0,0,0,11850,0,0,11850,1.792,5468,5468,0,0.827,46.143,1.346,588,588,0,0.089,12.049,5468,5468,0,0.827,12.049,1.346,5468,5468,0,0.827,0,0.827,0.989,0,0.989,588,0,0.089,0,5468,0,0.827,0,0.989,0,12.049,12.049,NA,NA,-3.374,14.358,-3.388,NA
2021-01-12,"NC",661197,1.393,552935,1.378,11850,0,0,11850,1.792,1.593,0,0,0,0,0,0,0,0,0,6557,6557,0,0.992,55.333,1.344,1089,1089,0,0.165,19.916,3906,3906,0,0.591,-28.566,1.12,6557,6557,0,0.992,0,0.992,1.186,0,1.186,1089,0,0.165,0,3906,0,0.591,0,0.706,0,19.916,-28.566,NA,NA,-3.518,14.358,-3.596,NA
2021-01-13,"NC",661197,1.393,552935,1.378,17700,0,0,17700,2.677,1.604,5850,0,0,5850,5850,0,0,5850,0.885,7420,7420,0,1.122,41.921,1.276,863,863,0,0.131,13.162,4614,4614,0,0.698,18.126,1.13,7420,7420,0,1.122,0,1.122,1.342,0,1.342,863,0,0.131,0,4614,0,0.698,0,0.834,0,13.162,18.126,NA,NA,-8.399,15.147,-8.483,NA
2021-01-14,"NC",661197,1.393,552935,1.378,17700,0,500,18200,2.753,1.597,0,0,500,500,5850,0,500,6350,0.96,8314,8314,0,1.257,45.681,1.23,894,894,0,0.135,12.049,5354,5354,0,0.81,16.038,1.142,8314,8314,0,1.257,0,1.257,1.504,0,1.504,894,0,0.135,0,5354,0,0.81,0,0.968,0,12.049,16.038,NA,NA,-11.701,14.645,-11.789,NA
