"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
2021-01-05,"PV",2220504,4.68,1898123,4.73,31605,0,0,31605,1.423,4.248,31605,0,0,31605,31605,0,0,31605,1.423,5553,5553,0,0.25,17.57,3.985,5553,5553,0,0.25,0,5553,5553,0,0.25,0,3.985,5553,5553,0,0.25,0,0.25,0.293,0,0.293,5553,0,0.25,0,5553,0,0.25,0,0.293,0,0,0,0,0,-14.85,-9.231,-14.966,NA
2021-01-06,"PV",2220504,4.68,1898123,4.73,31605,0,0,31605,1.423,NA,0,0,0,0,31605,0,0,31605,1.423,6644,6644,0,0.299,NA,3.833,1091,1091,0,0.049,19.647,6644,6644,0,0.299,19.647,3.833,6644,6644,0,NA,NA,0.299,NA,NA,0.35,1091,0,0.049,0,6644,0,0.299,0,0.35,0,19.647,19.647,NA,NA,-18.098,NA,NA,NA
2021-01-07,"PV",2220504,4.68,1898123,4.73,31605,0,0,31605,1.423,4.248,0,0,0,0,31605,0,0,31605,1.423,7734,7734,0,0.348,24.471,3.73,1090,1090,0,0.049,16.406,7734,7734,0,0.348,16.406,3.73,7734,7734,0,0.348,0,0.348,0.407,0,0.407,1090,0,0.049,0,7734,0,0.348,0,0.407,0,16.406,16.406,NA,NA,-20.299,-9.231,-20.366,NA
2021-01-08,"PV",2220504,4.68,1898123,4.73,31605,0,0,31605,1.423,4.248,0,0,0,0,31605,0,0,31605,1.423,9811,9811,0,0.442,31.043,3.529,2077,2077,0,0.094,26.855,9811,9811,0,0.442,26.855,3.529,9811,9811,0,0.442,0,0.442,0.517,0,0.517,2077,0,0.094,0,9811,0,0.442,0,0.517,0,26.855,26.855,NA,NA,-24.594,-9.231,-24.573,NA
2021-01-09,"PV",2220504,4.68,1898123,4.73,31605,0,0,31605,1.423,NA,0,0,0,0,31605,0,0,31605,1.423,10908,10908,0,0.491,NA,3.402,1097,1097,0,0.049,11.181,10908,10908,0,0.491,11.181,3.402,10908,10908,0,NA,NA,0.491,NA,NA,0.575,1097,0,0.049,0,10908,0,0.491,0,0.575,0,11.181,11.181,NA,NA,-27.308,NA,NA,NA
2021-01-10,"PV",2220504,4.68,1898123,4.73,31605,0,0,31605,1.423,NA,0,0,0,0,31605,0,0,31605,1.423,12006,12006,0,0.541,NA,3.304,1098,1098,0,0.049,10.066,12006,12006,0,0.541,10.066,3.304,12006,12006,0,NA,NA,0.541,NA,NA,0.633,1098,0,0.049,0,12006,0,0.541,0,0.633,0,10.066,10.066,NA,NA,-29.402,NA,NA,NA
2021-01-11,"PV",2220504,4.68,1898123,4.73,31605,0,0,31605,1.423,4.248,0,0,0,0,31605,0,0,31605,1.423,13103,13103,0,0.59,41.459,3.227,1097,1097,0,0.049,9.137,13103,13103,0,0.59,9.137,3.227,13103,13103,0,0.59,0,0.59,0.69,0,0.69,1097,0,0.049,0,13103,0,0.59,0,0.69,0,9.137,9.137,NA,NA,-31.047,-9.231,-31.075,NA
2021-01-12,"PV",2220504,4.68,1898123,4.73,31605,0,0,31605,1.423,4.248,0,0,0,0,0,0,0,0,0,15393,15393,0,0.693,48.704,3.154,2290,2290,0,0.103,17.477,9840,9840,0,0.443,-24.903,2.822,15393,15393,0,0.693,0,0.693,0.811,0,0.811,2290,0,0.103,0,9840,0,0.443,0,0.518,0,17.477,-24.903,NA,NA,-32.607,-9.231,-32.653,NA
2021-01-13,"PV",2220504,4.68,1898123,4.73,47205,0,0,47205,2.126,4.277,15600,0,0,15600,15600,0,0,15600,0.703,17771,17771,0,0.8,37.646,3.055,2378,2378,0,0.107,15.449,11127,11127,0,0.501,13.079,2.725,17771,17771,0,0.8,0,0.8,0.936,0,0.936,2378,0,0.107,0,11127,0,0.501,0,0.586,0,15.449,13.079,NA,NA,-34.722,-8.611,-34.747,NA
2021-01-14,"PV",2220504,4.68,1898123,4.73,47205,0,1400,48605,2.189,4.266,0,0,1400,1400,15600,0,1400,17000,0.766,20003,20003,0,0.901,41.154,2.958,2232,2232,0,0.101,12.56,12269,12269,0,0.553,10.263,2.617,20003,20003,0,0.901,0,0.901,1.054,0,1.054,2232,0,0.101,0,12269,0,0.553,0,0.646,0,12.56,10.263,NA,NA,-36.795,-8.846,-36.772,NA
