"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
2021-01-05,"RI",319914,0.674,270788,0.675,5915,0,0,0,5915,1.849,0.795,5915,0,0,5915,5915,0,0,5915,1.849,585,585,0,0.183,9.89,0.42,585,0.183,0,585,0,585,0.183,0,0.42,585,0,585,0.183,0,0.216,0,585,0,0.183,0,585,0,0.183,0,0.216,0,0,0,0,0,-37.685,17.953,-37.755,NA,2022-12-13,2024-04-02,2025-07-22,NA,NA,NA,NA,NA,NA
2021-01-06,"RI",319914,0.674,270788,0.675,5915,0,0,0,5915,1.849,0.795,0,0,0,0,5915,0,0,5915,1.849,722,722,0,0.226,12.206,0.417,137,0.043,23.419,137,0,722,0.226,23.419,0.417,722,0,722,0.226,0,0.267,0,137,0,0.043,0,722,0,0.226,0,0.267,0,23.419,23.419,NA,NA,-38.131,17.953,-38.082,NA,2022-07-28,2023-08-15,2024-09-02,NA,NA,NA,NA,NA,NA
2021-01-07,"RI",319914,0.674,270788,0.675,5915,0,0,0,5915,1.849,0.795,0,0,0,0,5915,0,0,5915,1.849,858,858,0,0.268,14.505,0.414,136,0.043,18.837,136,0,858,0.268,18.837,0.414,858,0,858,0.268,0,0.317,0,136,0,0.043,0,858,0,0.268,0,0.317,0,18.837,18.837,NA,NA,-38.576,17.953,-38.673,NA,2022-04-25,2023-03-11,2024-01-26,NA,NA,NA,NA,NA,NA
2021-01-08,"RI",319914,0.674,270788,0.675,5915,0,0,0,5915,1.849,0.795,0,0,0,0,5915,0,0,5915,1.849,1674,1674,0,0.523,28.301,0.602,816,0.255,95.105,816,0,1674,0.523,95.105,0.602,1674,0,1674,0.523,0,0.618,0,816,0,0.255,0,1674,0,0.523,0,0.618,0,95.105,95.105,NA,NA,-10.682,17.953,-10.751,NA,2021-12-25,2022-08-21,2023-04-17,NA,NA,NA,NA,NA,NA
2021-01-09,"RI",319914,0.674,270788,0.675,5915,0,0,0,5915,1.849,0.795,0,0,0,0,5915,0,0,5915,1.849,2268,2268,0,0.709,38.343,0.707,594,0.186,35.484,594,0,2268,0.709,35.484,0.707,2268,0,2268,0.709,0,0.838,0,594,0,0.186,0,2268,0,0.709,0,0.838,0,35.484,35.484,NA,NA,4.896,17.953,4.882,NA,2021-11-08,2022-06-03,2022-12-27,NA,NA,NA,NA,NA,NA
2021-01-10,"RI",319914,0.674,270788,0.675,5915,0,0,0,5915,1.849,0.795,0,0,0,0,5915,0,0,5915,1.849,2863,2863,0,0.895,48.402,0.788,595,0.186,26.235,595,0,2863,0.895,26.235,0.788,2863,0,2863,0.895,0,1.057,0,595,0,0.186,0,2863,0,0.895,0,1.057,0,26.235,26.235,NA,NA,16.914,17.953,16.841,NA,2021-10-04,2022-04-04,2022-10-04,NA,NA,NA,NA,NA,NA
2021-01-11,"RI",319914,0.674,270788,0.675,5915,0,0,0,5915,1.849,0.795,0,0,0,0,5915,0,0,5915,1.849,3457,3457,0,1.081,58.445,0.851,594,0.186,20.747,594,0,3457,1.081,20.747,0.851,3457,0,3457,1.081,0,1.277,0,594,0,0.186,0,3457,0,1.081,0,1.277,0,20.747,20.747,NA,NA,26.261,17.953,26.285,NA,2021-09-06,2022-02-16,2022-07-30,NA,NA,NA,NA,NA,NA
2021-01-12,"RI",319914,0.674,270788,0.675,5915,0,0,0,5915,1.849,0.795,0,0,0,0,0,0,0,0,0,3826,3826,0,1.196,64.683,0.784,369,0.115,10.674,369,0,3241,1.013,-6.248,0.929,3826,0,3826,1.196,0,1.413,0,369,0,0.115,0,3241,0,1.013,0,1.197,0,10.674,-6.248,NA,NA,16.32,17.953,16.229,NA,2021-10-14,2022-04-23,2022-10-30,NA,NA,NA,NA,NA,NA
2021-01-13,"RI",319914,0.674,270788,0.675,8840,0,0,0,8840,2.763,0.801,2925,0,0,2925,2925,0,0,2925,0.914,4651,4651,0,1.454,52.613,0.8,825,0.258,21.563,825,0,3929,1.228,21.228,0.962,4651,0,4651,1.454,0,1.718,0,825,0,0.258,0,3929,0,1.228,0,1.451,0,21.563,21.228,NA,NA,18.694,18.843,18.597,NA,2021-09-04,2022-02-13,2022-07-26,NA,NA,NA,NA,NA,NA
2021-01-14,"RI",319914,0.674,270788,0.675,8840,0,200,0,9040,2.826,0.793,0,0,200,200,2925,0,200,3125,0.977,5385,5385,0,1.683,59.569,0.796,734,0.229,15.782,734,0,4527,1.415,15.22,0.966,5385,0,5385,1.683,0,1.989,0,734,0,0.229,0,4527,0,1.415,0,1.672,0,15.782,15.22,NA,NA,18.101,17.656,18.105,NA,2021-08-04,2021-12-24,2022-05-14,NA,NA,NA,NA,NA,NA
2021-01-15,"RI",319914,0.674,270788,0.675,8840,0,200,0,9040,2.826,0.793,0,0,0,0,2925,0,200,3125,0.977,5953,5953,0,1.861,65.852,0.774,568,0.178,10.548,568,0,4279,1.338,-5.478,0.872,5953,0,5953,1.861,0,2.198,0,568,0,0.178,0,4279,0,1.338,0,1.58,0,10.548,-5.478,NA,NA,14.837,17.656,14.806,NA,2021-07-25,2021-12-08,2022-04-22,NA,NA,NA,NA,NA,NA
2021-01-16,"RI",319914,0.674,270788,0.675,8840,0,200,0,9040,2.826,0.792,0,0,0,0,2925,0,200,3125,0.977,6556,6556,0,2.049,72.522,0.807,603,0.188,10.129,603,0,4288,1.34,0.21,0.873,6556,0,6556,2.049,0,2.421,0,603,0,0.188,0,4288,0,1.34,0,1.584,0,10.129,0.21,NA,NA,19.733,17.507,19.825,-100,2021-07-26,2021-12-08,2022-04-23,2308-07-04,2500-02-27,2691-10-24,2308-07-04,2500-02-27,2691-10-24
2021-01-17,"RI",319914,0.674,270788,0.675,8840,0,200,0,9040,2.826,0.792,0,0,0,0,2925,0,200,3125,0.977,7158,7158,0,2.237,79.181,0.837,602,0.188,9.182,602,0,4295,1.343,0.163,0.874,7158,0,7158,2.237,0,2.643,0,602,0,0.188,0,4295,0,1.343,0,1.586,0,9.182,0.163,NA,NA,24.184,17.507,24.416,-100,2021-07-27,2021-12-09,2022-04-24,2212-09-06,2340-06-13,2468-03-20,2164-10-07,2260-08-05,2356-06-03
2021-01-18,"RI",319914,0.674,270788,0.675,8840,0,200,0,9040,2.826,0.791,0,0,0,0,2925,0,200,3125,0.977,7761,7761,0,2.426,85.852,0.864,603,0.188,8.424,603,0,4304,1.345,0.21,0.875,7761,0,7761,2.426,0,2.866,0,603,0,0.188,0,4304,0,1.345,0,1.589,0,8.424,0.21,NA,NA,28.19,17.359,28.564,-100,2021-07-27,2021-12-10,2022-04-25,2136-01-09,2212-09-07,2289-05-06,2116-11-09,2180-09-27,2244-08-16
2021-01-19,"RI",319914,0.674,270788,0.675,8840,0,200,0,9040,2.826,0.791,0,0,0,0,2925,0,200,3125,0.977,8049,7961,88,2.516,89.038,0.833,288,0.09,3.711,244,44,4223,1.32,-1.882,0.883,8005,44,7961,2.502,0.014,2.956,0.016,244,44,0.076,0.014,4179,44,1.306,0.014,1.543,0.016,3.144,-2.904,Inf,Inf,23.591,17.359,24.107,-30,2021-08-05,2021-12-24,2022-05-15,2049-10-12,2068-12-11,2088-02-10,2046-01-11,2062-09-11,2079-05-12
2021-01-20,"RI",319914,0.674,270788,0.675,11765,0,200,0,11965,3.74,0.889,2925,0,0,2925,2925,0,200,3125,0.977,8335,8247,88,2.605,69.662,0.812,286,0.089,3.553,286,0,3684,1.152,-12.763,0.829,8291,44,8247,2.592,0.014,3.062,0.016,286,0,0.089,0,3640,44,1.138,0.014,1.344,0.016,3.573,-12.898,0,0,20.475,31.899,21.747,-57.576,2021-08-24,2022-01-26,2022-06-30,2038-06-16,2050-01-27,2061-09-08,2035-10-11,2045-08-09,2055-06-08
2021-01-21,"RI",319914,0.674,270788,0.675,11765,0,200,0,11965,3.74,0.889,0,0,0,0,2925,0,0,2925,0.914,8684,8150,534,2.714,72.578,0.787,349,0.109,4.187,126,223,3299,1.031,-10.451,0.772,8417,267,8150,2.631,0.083,3.108,0.099,126,223,0.039,0.07,3032,267,0.948,0.083,1.12,0.099,1.52,-16.703,506.818,506.818,16.766,31.899,18.407,-19.417,2021-09-21,2022-03-16,2022-09-08,2026-08-14,2030-05-05,2034-01-23,2025-10-01,2028-11-21,2032-01-13
