"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
2021-01-05,"VC",5057353,10.658,4269305,10.639,61225,0,0,0,61225,1.211,8.23,61225,0,0,61225,61225,0,0,61225,1.211,8586,8586,0,0.17,14.024,6.162,8586,0.17,0,8586,0,8586,0.17,0,6.162,8586,0,8586,0.17,0,0.201,0,8586,0,0.17,0,8586,0,0.17,0,0.201,0,0,0,0,0,-42.184,-22.781,-42.177,NA,2022-12-13,2024-04-02,2025-07-22,NA,NA,NA,NA,NA,NA
2021-01-06,"VC",5057353,10.658,4269305,10.639,61225,0,0,0,61225,1.211,8.23,0,0,0,0,61225,0,0,61225,1.211,10132,10132,0,0.2,16.549,5.845,1546,0.031,18.006,1546,0,10132,0.2,18.006,5.845,10132,0,10132,0.2,0,0.237,0,1546,0,0.031,0,10132,0,0.2,0,0.237,0,18.006,18.006,NA,NA,-45.159,-22.781,-45.205,NA,2022-07-28,2023-08-15,2024-09-02,NA,NA,NA,NA,NA,NA
2021-01-07,"VC",5057353,10.658,4269305,10.639,61225,0,0,0,61225,1.211,8.23,0,0,0,0,61225,0,0,61225,1.211,11677,11677,0,0.231,19.072,5.632,1545,0.031,15.249,1545,0,11677,0.231,15.249,5.632,11677,0,11677,0.231,0,0.274,0,1545,0,0.031,0,11677,0,0.231,0,0.274,0,15.249,15.249,NA,NA,-47.157,-22.781,-47.14,NA,2022-04-25,2023-03-11,2024-01-26,NA,NA,NA,NA,NA,NA
2021-01-08,"VC",5057353,10.658,4269305,10.639,61225,0,0,0,61225,1.211,8.23,0,0,0,0,61225,0,0,61225,1.211,15965,15965,0,0.316,26.076,5.743,4288,0.085,36.722,4288,0,15965,0.316,36.722,5.743,15965,0,15965,0.316,0,0.374,0,4288,0,0.085,0,15965,0,0.316,0,0.374,0,36.722,36.722,NA,NA,-46.116,-22.781,-46.075,NA,2021-12-25,2022-08-21,2023-04-17,NA,NA,NA,NA,NA,NA
2021-01-09,"VC",5057353,10.658,4269305,10.639,61225,0,0,0,61225,1.211,8.23,0,0,0,0,61225,0,0,61225,1.211,25868,25868,0,0.511,42.251,8.067,9903,0.196,62.029,9903,0,25868,0.511,62.029,8.067,25868,0,25868,0.511,0,0.606,0,9903,0,0.196,0,25868,0,0.511,0,0.606,0,62.029,62.029,NA,NA,-24.31,-22.781,-24.408,NA,2021-11-08,2022-06-03,2022-12-27,NA,NA,NA,NA,NA,NA
2021-01-10,"VC",5057353,10.658,4269305,10.639,61225,0,0,0,61225,1.211,8.23,0,0,0,0,61225,0,0,61225,1.211,35771,35771,0,0.707,58.425,9.844,9903,0.196,38.283,9903,0,35771,0.707,38.283,9.844,35771,0,35771,0.707,0,0.838,0,9903,0,0.196,0,35771,0,0.707,0,0.838,0,38.283,38.283,NA,NA,-7.637,-22.781,-7.702,NA,2021-10-04,2022-04-04,2022-10-04,NA,NA,NA,NA,NA,NA
2021-01-11,"VC",5057353,10.658,4269305,10.639,61225,0,0,0,61225,1.211,8.23,0,0,0,0,61225,0,0,61225,1.211,45674,45674,0,0.903,74.6,11.247,9903,0.196,27.684,9903,0,45674,0.903,27.684,11.247,45674,0,45674,0.903,0,1.07,0,9903,0,0.196,0,45674,0,0.903,0,1.07,0,27.684,27.684,NA,NA,5.526,-22.781,5.491,NA,2021-09-06,2022-02-16,2022-07-30,NA,NA,NA,NA,NA,NA
2021-01-12,"VC",5057353,10.658,4269305,10.639,61225,0,0,0,61225,1.211,8.23,0,0,0,0,0,0,0,0,0,57223,57223,0,1.131,93.463,11.725,11549,0.228,25.286,11549,0,48637,0.962,6.487,13.948,57223,0,57223,1.131,0,1.34,0,11549,0,0.228,0,48637,0,0.962,0,1.139,0,25.286,6.487,NA,NA,10.011,-22.781,9.913,NA,2021-10-14,2022-04-23,2022-10-30,NA,NA,NA,NA,NA,NA
2021-01-13,"VC",5057353,10.658,4269305,10.639,91450,0,0,0,91450,1.808,8.286,30225,0,0,30225,30225,0,0,30225,0.598,70870,70870,0,1.401,77.496,12.185,13647,0.27,23.849,13647,0,60738,1.201,24.88,14.876,70870,0,70870,1.401,0,1.66,0,13647,0,0.27,0,60738,0,1.201,0,1.423,0,23.849,24.88,NA,NA,14.327,-22.256,14.274,NA,2021-09-04,2022-02-13,2022-07-26,NA,NA,NA,NA,NA,NA
2021-01-14,"VC",5057353,10.658,4269305,10.639,91450,0,2900,0,94350,1.866,8.281,0,0,2900,2900,30225,0,2900,33125,0.655,80429,80429,0,1.59,85.245,11.895,9559,0.189,13.488,9559,0,68752,1.359,13.194,14.664,80429,0,80429,1.59,0,1.884,0,9559,0,0.189,0,68752,0,1.359,0,1.61,0,13.488,13.194,NA,NA,11.606,-22.302,11.579,NA,2021-08-04,2021-12-24,2022-05-14,NA,NA,NA,NA,NA,NA
