"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,209520,0,6800,216320,15.52,151404,70,533,14.121,-12.995,0.006,0.008,0.008,5.993,7.438,7.671,1.789,-20.84
"2","ARAGÓN","AR",1329391,1132764,1107658,2.802,2.823,2.827,35415,0,1200,36615,2.627,25133,68.6,0,2.344,-6.248,0,0,0,-100,-100,-100,1.891,-16.333
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,35420,0,1200,36620,2.627,33572,91.7,202,3.131,22.371,0.02,0.022,0.023,233.747,219.079,217.007,3.295,45.834
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,16740,0,600,17340,1.244,13750,79.3,155,1.282,-49.613,0.013,0.016,0.016,122.701,123.72,123.714,1.174,-48.059
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,41310,0,1300,42610,3.057,42113,98.8,327,3.928,-33.339,0.015,0.017,0.018,152.957,148.793,148.807,1.935,-14.349
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,17700,0,500,18200,1.306,17724,97.4,0,1.653,6.332,0,0,0,-100,-100,-100,3.041,34.564
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,76740,0,2500,79240,5.685,67079,84.7,124,6.256,12.643,0.005,0.006,0.006,-12.848,-15.657,-16.019,2.801,23.954
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,53100,0,1700,54800,3.932,38321,69.9,0,3.574,-8.779,0,0,0,-100,-100,-100,1.874,-17.08
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,180020,0,5800,185820,13.332,145073,78.1,167,13.53,-18.695,0.002,0.003,0.003,-63.871,-63.603,-63.572,1.865,-17.483
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,91450,0,2900,94350,6.769,93695,99.3,152,8.739,-36.488,0.003,0.004,0.004,-49.41,-49.317,-49.292,1.853,-18.011
"11","EXTREMADURA","EX",1063987,911213,890260,2.242,2.271,2.272,32450,0,1000,33450,2.4,27613,82.6,0,2.575,7.042,0,0,0,-100,-100,-100,2.595,14.853
"12","GALICIA","GA",2701819,2362643,2318629,5.694,5.887,5.918,56080,0,1800,57880,4.153,56481,97.6,150,5.268,-27.071,0.006,0.006,0.006,-6.549,-9.621,-10.084,2.09,-7.485
"13","LA RIOJA","RI",319914,270788,264502,0.674,0.675,0.675,8840,0,200,9040,0.649,7761,85.9,0,0.724,-3.772,0,0,0,-100,-100,-100,2.426,7.361
"14","C. MADRID","MD",6779888,5695623,5559762,14.288,14.193,14.19,147540,0,4700,152240,10.922,104490,68.6,476,9.745,-23.555,0.007,0.008,0.009,18.177,18.97,18.995,1.541,-31.795
"15","REGIÓN DE MURCIA","MC",1511251,1237479,1202767,3.185,3.084,3.07,38360,0,1200,39560,2.838,34103,86.2,0,3.181,-10.888,0,0,0,-100,-100,-100,2.257,-0.133
"16","NAVARRA","NC",661197,552935,539029,1.393,1.378,1.376,17700,0,500,18200,1.306,11834,65,0,1.104,-6.263,0,0,0,-100,-100,-100,1.79,-20.793
"17","EUSKADI","PV",2220504,1898123,1856299,4.68,4.73,4.738,47205,0,1400,48605,3.487,25526,52.5,0,2.381,-25.488,0,0,0,-100,-100,-100,1.15,-49.126
"18","CEUTA","CE",84202,66158,63983,0.177,0.165,0.163,209520,0,6800,216320,15.52,151404,70,533,14.121,8668.295,0.633,0.806,0.833,10554.994,11368.774,11478.186,179.81,7857.543
"19","MELILLA","ML",87076,66178,63854,0.184,0.165,0.163,35415,0,1200,36615,2.627,25133,68.6,0,2.344,1327.687,0,0,0,-100,-100,-100,28.863,1177.35
"20","FUERZAS ARMADAS","FFAA",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ESPAÑA","ES",47450795,40129822,39180773,100,84.571,82.571,1350525,0,43300,1393825,100,1072209,76.926,2819,100,0,0.006,0.007,0.007,0,0,0,2.26,0
