"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-02-05,"AN",8464411,17.838,7062213,17.598,400230,0,16600,416830,4.925,18.787,0,0,0,0,76050,0,9800,85850,1.014,363482,100096,263386,4.294,87.201,18.282,17834,0.211,5.16,80487,0.951,0.574,15.66,231789,100096,131693,2.738,1.556,1.183,3.282,1.865,1.417,4094,13740,0.048,0.162,-9646,16305,64182,0.193,0.758,0.231,0.909,-47877,1.798,-4.532,11.649,1.959,2.489,5.32,-0.473,8.131
"AR",2021-02-05,"AR",1329391,2.802,1132764,2.823,68175,0,2900,71075,5.346,3.203,0,0,0,0,12870,0,1700,14570,1.096,72656,25680,46976,5.465,102.224,3.654,6677,0.502,10.12,18719,1.408,13.27,3.642,49168,25680,23488,3.699,1.767,1.932,4.341,2.074,2.267,2724,3953,0.205,0.297,-1229,4983,13736,0.375,1.033,0.44,1.213,-8753,5.865,31.235,20.235,7.911,30.407,14.311,34.46,22.794
"AS",2021-02-05,"AS",1018784,2.147,901209,2.246,69935,0,2900,72835,7.149,3.283,0,0,0,0,11700,0,1700,13400,1.315,68626,11146,57480,6.736,94.221,3.452,3325,0.326,5.092,15707,1.542,1.703,3.056,39886,11146,28740,3.915,2.821,1.094,4.426,3.189,1.237,295,3030,0.029,0.297,-2735,3233,12474,0.317,1.224,0.359,1.384,-9241,0.745,-15.233,11.785,7.257,60.782,52.911,42.312,96.039
"IB",2021-02-05,"IB",1171543,2.469,986279,2.458,35460,0,1500,36960,3.155,1.666,0,0,0,0,5850,0,900,6750,0.576,31496,11652,19844,2.688,85.216,1.584,2130,0.182,7.253,6455,0.551,10.796,1.256,21574,11652,9922,1.842,0.847,0.995,2.187,1.006,1.181,137,1993,0.012,0.17,-1856,902,5553,0.077,0.474,0.091,0.563,-4651,0.639,-24.329,25.136,19.832,-35.844,-32.523,-33.043,-41.14
"CN",2021-02-05,"CN",2175952,4.586,1871033,4.662,79530,0,3200,82730,3.802,3.729,0,0,0,0,15210,0,1900,17110,0.786,79839,31741,48098,3.669,96.505,4.016,4505,0.207,5.98,19659,0.903,3.747,3.825,55790,31741,24049,2.564,1.105,1.459,2.982,1.285,1.696,716,3789,0.033,0.174,-3073,4382,15277,0.201,0.702,0.234,0.817,-10895,1.3,-21.088,18.702,14.042,-12.429,-18.687,-6.798,-23.211
"CB",2021-02-05,"CB",582905,1.228,501384,1.249,33495,0,1300,34795,5.969,1.568,0,0,0,0,5850,0,800,6650,1.141,29864,12252,17612,5.123,85.828,1.502,1875,0.322,6.699,8223,1.411,26.12,1.6,21058,12252,8806,3.613,1.511,2.102,4.2,1.756,2.444,191,1684,0.033,0.289,-1493,341,7882,0.059,1.352,0.068,1.572,-7541,0.915,89.444,23.645,24.322,22.313,27.687,31.334,5.003
"CL",2021-02-05,"CL",2394918,5.047,2092873,5.215,149475,0,6200,155675,6.5,7.016,0,0,0,0,28080,0,3700,31780,1.327,151008,37678,113330,6.305,97.002,7.595,12152,0.507,8.752,36265,1.514,18.308,7.056,94343,37678,56665,3.939,2.366,1.573,4.508,2.708,1.8,1169,10983,0.049,0.459,-9814,4620,31645,0.193,1.321,0.221,1.512,-27025,1.255,-0.194,24.042,21.599,50.485,39.013,43.184,64.42
"CM",2021-02-05,"CM",2045221,4.31,1719964,4.286,101655,0,4200,105855,5.176,4.771,0,0,0,0,18720,0,2500,21220,1.038,102033,41343,60690,4.989,96.389,5.132,4680,0.229,4.807,24268,1.187,-6.189,4.722,71688,41343,30345,3.505,1.484,2.021,4.168,1.764,2.404,2026,2654,0.099,0.13,-628,6409,17859,0.313,0.873,0.373,1.038,-11450,2.908,10.386,9.584,-10.985,19.072,10.696,27.408,3.127
"CT",2021-02-05,"CT",7780479,16.397,6531658,16.276,345770,0,14300,360070,4.628,16.228,0,0,0,0,65520,0,8500,74020,0.951,308695,92941,215754,3.968,85.732,15.527,22866,0.294,8,86123,1.107,10.909,16.756,200818,92941,107877,2.581,1.387,1.195,3.075,1.652,1.423,6713,16153,0.086,0.208,-9440,13670,72453,0.176,0.931,0.209,1.109,-58783,3.458,48.749,17.61,5.83,-5.306,-1.031,-6.18,-3.614
"VC",2021-02-05,"VC",5057353,10.658,4269305,10.639,175690,0,7000,182690,3.612,8.234,0,0,0,0,32760,0,4100,36860,0.729,182225,31071,151154,3.603,99.745,9.166,9471,0.187,5.482,69953,1.383,10.97,13.61,106648,31071,75577,2.109,1.494,0.614,2.498,1.77,0.728,1734,7737,0.034,0.153,-6003,5693,64260,0.113,1.271,0.133,1.505,-58567,1.653,37.313,11.405,9.115,-13.999,-22.743,-23.337,3.822
