"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-02-13,"AN",8464411,17.838,7062213,17.598,475110,34500,36300,545910,6.449,18.729,0,0,0,0,74880,34500,19700,129080,1.525,440101,77215,362886,5.199,80.618,17.823,8459,0.1,1.96,3747,4712,71465,0.844,4.849,16.164,258658,181443,77215,3.056,2.144,3.663,2.569,3747,4712,0.044,0.056,25668,45797,0.303,0.541,0.363,0.648,1.47,11.011,2.666,1.685,-0.084,4.995,0.328,-0.603,2022-12-04,2024-04-07,2025-08-09,2021-12-12,2022-07-17,2023-02-19,2021-10-22,2022-04-24,2022-10-24
"AR",2021-02-13,"AR",1329391,2.802,1132764,2.823,81045,5400,6300,92745,6.977,3.182,0,0,0,0,12870,5400,3400,21670,1.63,89312,17114,72198,6.718,96.298,3.617,1015,0.076,1.15,575,440,15991,1.203,2.238,3.617,53213,36099,17114,4.003,2.715,4.698,3.187,575,440,0.043,0.033,3678,12314,0.277,0.926,0.325,1.087,1.092,5.994,1.234,1.175,29.086,13.562,31.418,25.869,2022-12-04,2024-04-07,2025-08-09,2021-12-12,2022-07-17,2023-02-19,2021-10-22,2022-04-24,2022-10-24
"AS",2021-02-13,"AS",1018784,2.147,901209,2.246,83975,4200,6300,94475,9.273,3.241,0,0,0,0,14040,4200,3400,21640,2.124,79125,12886,66239,7.767,83.752,3.204,679,0.067,0.866,506,173,9446,0.927,-3.809,2.137,46006,33119,12887,4.516,3.251,5.105,3.675,506,173,0.05,0.017,5976,3470,0.587,0.341,0.663,0.385,1.112,6.448,0.525,-17.499,49.231,50.955,48.26,50.719,2022-12-04,2024-04-07,2025-08-09,2021-12-12,2022-07-17,2023-02-19,2021-10-22,2022-04-24,2022-10-24
"IB",2021-02-13,"IB",1171543,2.469,986279,2.458,42480,4800,3200,50480,4.309,1.732,0,0,0,0,7020,4800,1700,13520,1.154,41703,7024,34679,3.56,82.613,1.689,1079,0.092,2.656,422,657,8811,0.752,-3.473,1.993,24364,17340,7024,2.08,1.48,2.47,1.758,423,657,0.036,0.056,2564,6249,0.219,0.533,0.26,0.634,1.767,8.323,3.938,-7.573,-31.592,-29.85,-31.714,-31.386,2022-12-04,2024-04-07,2025-08-09,2021-12-12,2022-07-17,2023-02-19,2021-10-22,2022-04-24,2022-10-24
"CN",2021-02-13,"CN",2175952,4.586,1871033,4.662,93570,8900,7000,109470,5.031,3.756,0,0,0,0,14040,8900,3800,26740,1.229,101113,17827,83286,4.647,92.366,4.095,1797,0.083,1.809,933,864,19777,0.909,1.54,4.473,59470,41643,17827,2.733,1.914,3.178,2.226,933,864,0.043,0.04,3553,16224,0.163,0.746,0.19,0.867,1.594,29.341,2.119,-3.025,-10.706,-18.099,-10.276,-11.266,2022-12-04,2024-04-07,2025-08-09,2021-12-12,2022-07-17,2023-02-19,2021-10-22,2022-04-24,2022-10-24
"CB",2021-02-13,"CB",582905,1.228,501384,1.249,39345,2400,2900,44645,7.659,1.532,0,0,0,0,5850,2400,1600,9850,1.69,40636,4721,35915,6.971,91.02,1.646,929,0.159,2.34,450,479,9322,1.599,-5.293,2.109,22679,17957,4722,3.891,3.081,4.523,3.581,450,479,0.077,0.082,1378,7944,0.236,1.363,0.275,1.584,2.024,17.677,2.741,-8.395,34.039,24.756,27.741,42.837,2022-12-04,2024-04-07,2025-08-09,2021-12-12,2022-07-17,2023-02-19,2021-10-22,2022-04-24,2022-10-24
"CL",2021-02-13,"CL",2394918,5.047,2092873,5.215,177555,9800,13500,200855,8.387,6.891,0,0,0,0,28080,9800,7300,45180,1.886,181353,28595,152758,7.572,90.291,7.345,2522,0.105,1.41,1576,946,27008,1.128,-2.929,6.109,104974,76379,28595,4.383,3.189,5.016,3.649,1576,946,0.066,0.04,9381,17626,0.392,0.736,0.448,0.842,1.524,3.6,1.254,-6.085,45.532,36.537,43.894,47.844,2022-12-04,2024-04-07,2025-08-09,2021-12-12,2022-07-17,2023-02-19,2021-10-22,2022-04-24,2022-10-24
"CM",2021-02-13,"CM",2045221,4.31,1719964,4.286,120375,8300,9200,137875,6.741,4.73,0,0,0,0,18720,8300,5000,32020,1.566,120431,31926,88505,5.888,87.348,4.877,2760,0.135,2.346,197,2563,17413,0.851,11.351,3.939,76178,44253,31925,3.725,2.164,4.429,2.573,197,2563,0.01,0.125,4100,13313,0.2,0.651,0.238,0.774,0.259,-4.496,6.148,17.347,13.155,9.745,22.292,0.325,2022-12-04,2024-04-07,2025-08-09,2021-12-12,2022-07-17,2023-02-19,2021-10-22,2022-04-24,2022-10-24
"CT",2021-02-13,"CT",7780479,16.397,6531658,16.276,410120,31800,31400,473320,6.083,16.239,0,0,0,0,64350,31800,17100,113250,1.456,385260,74470,310790,4.952,81.395,15.602,8741,0.112,2.322,5437,3304,73723,0.948,8.698,16.675,229865,155395,74470,2.954,1.997,3.519,2.379,5437,3304,0.07,0.042,30493,43230,0.392,0.556,0.467,0.662,2.423,29.153,2.172,-2.226,-4.848,-0.964,-3.02,-7.418,2022-12-04,2024-04-07,2025-08-09,2021-12-12,2022-07-17,2023-02-19,2021-10-22,2022-04-24,2022-10-24
"VC",2021-02-13,"VC",5057353,10.658,4269305,10.639,207280,20600,15700,243580,4.816,8.357,0,0,0,0,31590,20600,8700,60890,1.204,215947,29866,186081,4.27,88.655,8.746,1937,0.038,0.905,1330,607,30830,0.61,-3.005,6.973,122907,93040,29867,2.43,1.84,2.879,2.179,1330,607,0.026,0.012,15898,14932,0.314,0.295,0.372,0.35,1.094,6.491,0.657,-11.414,-17.94,-21.589,-20.223,-14.696,2022-12-04,2024-04-07,2025-08-09,2021-12-12,2022-07-17,2023-02-19,2021-10-22,2022-04-24,2022-10-24
