"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
"AN",2021-02-18,"AN",8464411,17.838,7062213,17.598,568710,74500,36300,0,679510,8.028,18.76,0,0,0,0,93600,40000,0,133600,1.578,506973,101711,405262,5.989,74.609,18.218,21300,0.252,4.386,16983,4317,91958,1.086,9.527,19.894,304342,202631,101711,3.596,2.394,4.309,2.869,16983,4317,0.201,0.051,57414,34544,0.678,0.408,0.813,0.489,5.91,25.869,2.177,-9.913,2.13,5.169,4.171,-0.746,2022-01-21,2022-10-03,2023-06-14,2022-05-19,2023-04-14,2024-03-09,2022-03-03,2022-12-07,2023-09-12
"AR",2021-02-18,"AR",1329391,2.802,1132764,2.823,96255,11700,6300,0,114255,8.595,3.154,0,0,0,0,15210,6300,0,21510,1.618,101956,20066,81890,7.669,89.235,3.664,4969,0.374,5.123,3698,1271,17469,1.314,4.131,3.779,61011,40945,20066,4.589,3.08,5.386,3.615,3698,1271,0.278,0.096,9510,7959,0.715,0.599,0.84,0.703,6.452,47.556,3.204,-22.96,30.764,12.562,32.937,27.695,2022-01-21,2022-10-03,2023-06-14,2022-05-19,2023-04-14,2024-03-09,2022-03-03,2022-12-07,2023-09-12
"AS",2021-02-18,"AS",1018784,2.147,901209,2.246,98015,9000,6300,0,113315,11.123,3.128,0,0,0,0,14040,4800,0,18840,1.849,85458,14956,70502,8.388,75.416,3.071,2330,0.229,2.803,1647,683,8290,0.814,3.496,1.793,50207,35251,14956,4.928,3.46,5.571,3.912,1647,683,0.162,0.067,5745,2545,0.564,0.25,0.637,0.282,3.392,0.122,1.976,12.016,43.037,45.692,42.758,43.449,2022-01-21,2022-10-03,2023-06-14,2022-05-19,2023-04-14,2024-03-09,2022-03-03,2022-12-07,2023-09-12
"IB",2021-02-18,"IB",1171543,2.469,986279,2.458,49500,10300,3200,0,63000,5.378,1.739,0,0,0,0,7020,5500,0,12520,1.069,46824,7012,39812,3.997,74.324,1.683,1476,0.126,3.255,931,545,7855,0.67,2.506,1.699,26918,19906,7012,2.298,1.699,2.729,2.018,931,545,0.079,0.047,3525,4330,0.301,0.37,0.357,0.439,3.583,22.994,2.815,-9.735,-31.835,-29.567,-33.43,-29.561,2022-01-21,2022-10-03,2023-06-14,2022-05-19,2023-04-14,2024-03-09,2022-03-03,2022-12-07,2023-09-12
"CN",2021-02-18,"CN",2175952,4.586,1871033,4.662,111120,19200,7000,0,137320,6.311,3.791,0,0,0,0,17550,10300,0,27850,1.28,111897,18299,93598,5.142,81.486,4.021,2846,0.131,2.61,1286,1560,25430,1.169,12.602,5.501,65098,46799,18299,2.992,2.151,3.479,2.501,1286,1560,0.059,0.072,8598,16832,0.395,0.774,0.46,0.9,2.015,17.588,3.448,10.215,-12.32,-17.335,-13.326,-10.821,2022-01-21,2022-10-03,2023-06-14,2022-05-19,2023-04-14,2024-03-09,2022-03-03,2022-12-07,2023-09-12
"CB",2021-02-18,"CB",582905,1.228,501384,1.249,47535,5100,2900,0,55535,9.527,1.533,0,0,0,0,8190,2700,0,10890,1.868,44700,6464,38236,7.668,80.49,1.606,787,0.135,1.792,731,56,6483,1.112,-14.619,1.403,25582,19118,6464,4.389,3.28,5.102,3.813,731,56,0.125,0.01,3624,2859,0.622,0.49,0.723,0.57,2.942,23.94,0.294,-38.766,30.782,24.837,27.144,35.987,2022-01-21,2022-10-03,2023-06-14,2022-05-19,2023-04-14,2024-03-09,2022-03-03,2022-12-07,2023-09-12
"CL",2021-02-18,"CL",2394918,5.047,2092873,5.215,211485,21100,13500,0,246085,10.275,6.794,0,0,0,0,33930,11300,0,45230,1.889,202462,36078,166384,8.454,82.273,7.276,6266,0.262,3.194,4496,1770,29776,1.243,5.716,6.442,119270,83192,36078,4.98,3.474,5.699,3.975,4496,1770,0.188,0.074,19028,10748,0.795,0.449,0.909,0.514,3.917,18.267,2.174,-11.004,44.165,34.615,44.264,44.03,2022-01-21,2022-10-03,2023-06-14,2022-05-19,2023-04-14,2024-03-09,2022-03-03,2022-12-07,2023-09-12
"CM",2021-02-18,"CM",2045221,4.31,1719964,4.286,143775,18000,9200,0,170975,8.36,4.72,0,0,0,0,23400,9700,0,33100,1.618,137438,20768,116670,6.72,80.385,4.939,4716,0.231,3.553,1828,2888,23801,1.164,3.097,5.149,79103,58335,20768,3.868,2.852,4.599,3.392,1828,2888,0.089,0.141,3657,20144,0.179,0.985,0.213,1.171,2.366,15.363,5.209,1.145,14.594,9.513,12.051,18.242,2022-01-21,2022-10-03,2023-06-14,2022-05-19,2023-04-14,2024-03-09,2022-03-03,2022-12-07,2023-09-12
"CT",2021-02-18,"CT",7780479,16.397,6531658,16.276,489680,68600,31400,0,589680,7.579,16.28,0,0,0,0,79560,36800,0,116360,1.496,443181,102323,340858,5.696,75.156,15.926,15656,0.201,3.662,13481,2175,85306,1.096,-1.717,18.455,272752,170429,102323,3.506,2.19,4.176,2.609,13481,2175,0.173,0.028,60956,24350,0.783,0.313,0.933,0.373,5.2,7.049,1.293,-18.436,-2.872,-0.714,1.564,-9.204,2022-01-21,2022-10-03,2023-06-14,2022-05-19,2023-04-14,2024-03-09,2022-03-03,2022-12-07,2023-09-12
"VC",2021-02-18,"VC",5057353,10.658,4269305,10.639,247060,44500,15700,0,307260,6.076,8.483,0,0,0,0,39780,23900,0,63680,1.259,233828,40380,193448,4.624,76.101,8.403,5648,0.112,2.475,4964,684,25586,0.506,-2.332,5.535,137104,96724,40380,2.711,1.913,3.211,2.266,4964,684,0.098,0.014,19622,5964,0.388,0.118,0.46,0.14,3.757,-0.29,0.712,-8.5,-21.158,-20.407,-21.466,-20.688,2022-01-21,2022-10-03,2023-06-14,2022-05-19,2023-04-14,2024-03-09,2022-03-03,2022-12-07,2023-09-12
"EX",2021-02-18,"EX",1063987,2.242,911213,2.271,88415,9300,5400,0,103115,9.691,2.847,0,0,0,0,14040,5000,0,19040,1.789,85553,14599,70954,8.041,82.969,3.074,3467,0.326,4.224,1405,2062,12114,1.139,12.667,2.621,50076,35477,14599,4.706,3.334,5.496,3.893,1405,2062,0.132,0.194,6413,5701,0.603,0.536,0.704,0.626,2.887,4.668,6.171,23.265,37.11,26.985,36.327,38.226,2022-01-21,2022-10-03,2023-06-14,2022-05-19,2023-04-14,2024-03-09,2022-03-03,2022-12-07,2023-09-12
