"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-03-24,"AN",8464411,17.838,7062213,17.598,999270,361600,111200,1472070,17.391,17.301,99450,17800,0,117250,99450,17800,0,117250,1.385,1258375,347639,910736,14.867,85.483,19.008,55822,0.659,4.642,22793,33029,122385,1.446,37.297,16.04,803007,455368,347639,9.487,5.38,11.37,6.448,22793,33029,0.269,0.39,50223,72162,0.593,0.853,0.711,1.022,2.921,67.46,7.82,22.002,6.559,-3.01,3.638,12.153
"AR",2021-03-24,"AR",1329391,2.802,1132764,2.823,187515,56800,21700,266015,20.01,3.126,22230,2800,0,25030,22230,2800,0,25030,1.883,211426,62700,148726,15.904,79.479,3.194,4308,0.324,2.08,2030,2278,23315,1.754,-3.733,3.056,137063,74363,62700,10.31,5.594,12.1,6.565,2030,2278,0.153,0.171,11628,11687,0.875,0.879,1.027,1.032,1.503,6.406,3.16,-12.068,13.99,11.563,12.628,16.615
"AS",2021-03-24,"AS",1018784,2.147,901209,2.246,182255,43600,20700,246555,24.201,2.898,21060,2100,0,23160,21060,2100,0,23160,2.273,192737,40637,152100,18.918,78.172,2.911,5308,0.521,2.832,3455,1853,21082,2.069,-1.288,2.763,116687,76050,40637,11.454,7.465,12.948,8.439,3455,1853,0.339,0.182,8443,12639,0.829,1.241,0.937,1.402,3.051,53.425,2.497,-20.279,35.585,34.979,25.126,55.618
"IB",2021-03-24,"IB",1171543,2.469,986279,2.458,99810,49900,11100,160810,13.726,1.89,12870,2400,0,15270,12870,2400,0,15270,1.303,125552,53432,72120,10.717,78.075,1.897,761,0.065,0.61,619,142,12663,1.081,-10.717,1.66,89492,36060,53432,7.639,3.078,9.074,3.656,619,142,0.053,0.012,8184,4479,0.699,0.382,0.83,0.454,0.696,-14.634,0.395,-2.546,-23.167,-23.451,-16.55,-35.835
"CN",2021-03-24,"CN",2175952,4.586,1871033,4.662,209400,93000,22900,325300,14.95,3.823,23400,4600,0,28000,23400,4600,0,28000,1.287,248101,74249,173852,11.402,76.268,3.748,6593,0.303,2.73,1535,5058,24290,1.116,10.842,3.183,161175,86926,74249,7.407,3.995,8.614,4.646,1535,5058,0.071,0.232,6698,17592,0.308,0.808,0.358,0.94,0.962,17.426,6.178,8.526,-18.273,-16.638,-19.085,-16.719
"CB",2021-03-24,"CB",582905,1.228,501384,1.249,88485,24800,9700,122985,21.099,1.445,9360,1200,0,10560,9360,1200,0,10560,1.812,94153,16133,78020,16.152,76.556,1.422,3138,0.538,3.448,631,2507,12580,2.158,7.228,1.649,55143,39010,16133,9.46,6.692,10.998,7.78,631,2507,0.108,0.43,1635,10945,0.28,1.878,0.326,2.183,1.158,45.204,6.868,3.196,15.798,17.671,3.343,39.504
"CL",2021-03-24,"CL",2394918,5.047,2092873,5.215,413895,102400,47700,563995,23.55,6.629,49140,5100,0,54240,49140,5100,0,54240,2.265,441559,113569,327990,18.437,78.291,6.67,10406,0.435,2.414,3669,6737,52252,2.182,2.606,6.848,277564,163995,113569,11.59,6.848,13.262,7.836,3669,6737,0.153,0.281,18017,34235,0.752,1.429,0.861,1.636,1.34,-2.905,4.284,5.765,32.158,31.345,26.611,42.756
"CM",2021-03-24,"CM",2045221,4.31,1719964,4.286,270135,87400,31000,388535,18.997,4.566,30420,4300,0,34720,30420,4300,0,34720,1.698,278619,81907,196712,13.623,71.71,4.209,6972,0.341,2.567,3367,3605,33349,1.631,2.417,4.371,180263,98356,81907,8.814,4.809,10.481,5.718,3367,3605,0.165,0.176,17556,15793,0.858,0.772,1.021,0.918,1.903,-2.059,3.805,7.898,-2.343,5.94,-3.714,0.25
"CT",2021-03-24,"CT",7780479,16.397,6531658,16.276,923750,332500,105400,1361650,17.501,16.004,104130,16400,0,120530,104130,16400,0,120530,1.549,1027370,313838,713532,13.204,75.45,15.519,15480,0.199,1.53,5235,10245,112157,1.442,-0.424,14.699,670604,356766,313838,8.619,4.585,10.267,5.462,5235,10245,0.067,0.132,16249,95908,0.209,1.233,0.249,1.468,0.787,33.935,2.957,-4.572,-5.355,-2.397,-5.844,-4.419
"VC",2021-03-24,"VC",5057353,10.658,4269305,10.639,518500,216100,57800,792400,15.668,9.313,67860,10700,0,78560,67860,10700,0,78560,1.553,590395,160295,430100,11.674,74.507,8.918,21334,0.422,3.749,7832,13502,103626,2.049,25.922,13.581,375345,215050,160295,7.422,4.252,8.792,5.037,7832,13502,0.155,0.267,43308,60318,0.856,1.193,1.014,1.413,2.131,22.07,6.699,28.841,-16.326,-12.62,-18.921,-11.361
