"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-04-11,"AN",8464411,17.838,7062213,17.598,1283580,564800,168000,2016380,23.822,NA,0,0,0,0,184860,183200,0,368060,4.348,1835713,1296958,1077510,21.687,NA,17.317,29487,28078,2818,0.348,1.633,325418,308638,33559,3.845,7.52,16.65,1296958,758203,538755,NA,NA,8.958,NA,NA,10.736,28078,1409,0.332,0.017,308638,16779,3.646,0.198,4.37,0.238,2.213,7.456,0.262,8.7,-2.921,NA,NA,NA
"AR",2021-04-11,"AR",1329391,2.802,1132764,2.823,250695,88700,35300,374695,28.185,NA,0,0,0,0,40950,28800,0,69750,5.247,309487,207495,203983,23.28,NA,2.92,3058,2897,320,0.23,0.998,43853,38663,10379,3.299,7.457,2.244,207495,105503,101992,NA,NA,7.936,NA,NA,9.314,2897,161,0.218,0.012,38663,5190,2.908,0.39,3.413,0.458,1.416,8.085,0.158,2.997,4.211,NA,NA,NA
"AS",2021-04-11,"AS",1018784,2.147,901209,2.246,241925,68000,32700,342625,33.631,NA,0,0,0,0,38610,22000,0,60610,5.949,295403,198654,193497,28.996,NA,2.787,6275,5799,950,0.616,2.17,49311,44786,9048,4.84,4.75,2.523,198654,101906,96748,NA,NA,10.003,NA,NA,11.308,5799,474,0.569,0.047,44786,4524,4.396,0.444,4.97,0.502,3.007,5.486,0.492,-2.057,29.809,NA,NA,NA
"IB",2021-04-11,"IB",1171543,2.469,986279,2.458,140760,78000,18000,236760,20.209,NA,0,0,0,0,28080,25300,0,53380,4.556,212156,155862,112588,18.109,NA,2.001,6196,5579,1234,0.529,3.008,37994,30994,14000,3.243,15.326,1.944,155862,99568,56294,NA,NA,8.499,NA,NA,10.095,5579,617,0.476,0.053,30994,7000,2.646,0.598,3.143,0.71,3.712,16.95,1.108,8.645,-18.955,NA,NA,NA
"CN",2021-04-11,"CN",2175952,4.586,1871033,4.662,276090,145200,35800,457090,21.006,NA,0,0,0,0,43290,47100,0,90390,4.154,381102,266044,230116,17.514,NA,3.595,6508,6212,592,0.299,1.737,59976,53984,11983,2.756,6.677,3.069,266044,150986,115058,NA,NA,6.939,NA,NA,8.07,6212,296,0.285,0.014,53984,5992,2.481,0.275,2.885,0.32,2.391,7.152,0.258,2.585,-21.609,NA,NA,NA
"CB",2021-04-11,"CB",582905,1.228,501384,1.249,115395,38800,15300,169495,29.078,NA,0,0,0,0,17550,12600,0,30150,5.172,138438,93198,90479,23.75,NA,1.306,2524,2417,212,0.433,1.857,17895,17469,851,3.07,14.866,0.916,93198,47958,45240,NA,NA,8.227,NA,NA,9.565,2417,107,0.415,0.018,17469,426,2.997,0.073,3.484,0.085,2.662,14.476,0.237,33.542,6.352,NA,NA,NA
"CL",2021-04-11,"CL",2394918,5.047,2092873,5.215,555465,159900,78300,793665,33.14,NA,0,0,0,0,92430,51800,0,144230,6.022,682461,450372,464177,28.496,NA,6.438,12666,11514,2302,0.529,1.891,114753,90988,47527,4.792,7.094,5.871,450372,218283,232089,NA,NA,9.114,NA,NA,10.43,11514,1152,0.481,0.048,90988,23764,3.799,0.992,4.348,1.135,2.624,7.644,0.499,5.034,27.561,NA,NA,NA
"CM",2021-04-11,"CM",2045221,4.31,1719964,4.286,356715,136400,49600,542715,26.536,NA,0,0,0,0,56160,44200,0,100360,4.907,476708,325256,302904,23.308,NA,4.497,6610,5852,1516,0.323,1.406,89666,69267,40797,4.384,2.112,4.588,325256,173804,151452,NA,NA,8.498,NA,NA,10.105,5852,758,0.286,0.037,69267,20398,3.387,0.997,4.027,1.186,1.832,1.827,0.503,3.088,4.339,NA,NA,NA
"CT",2021-04-11,"CT",7780479,16.397,6531658,16.276,1220930,519100,168400,1908430,24.528,NA,0,0,0,0,193050,168300,0,361350,4.644,1710812,1254821,911982,21.989,NA,16.139,23073,21148,3850,0.297,1.367,313652,293323,40656,4.031,-6.284,16.048,1254821,798830,455991,NA,NA,10.267,NA,NA,12.23,21148,1925,0.272,0.025,293323,20328,3.77,0.261,4.491,0.311,1.714,-6.024,0.424,-9.882,-1.573,NA,NA,NA
"VC",2021-04-11,"VC",5057353,10.658,4269305,10.639,711550,337500,96800,1145850,22.657,NA,0,0,0,0,125190,109400,0,234590,4.639,1035842,751736,568213,20.482,NA,9.772,-1,0,0,0,0,168212,146668,43088,3.326,-1.784,8.607,751736,467629,284107,NA,NA,9.247,NA,NA,10.953,0,1,0,0,146668,21545,2.9,0.426,3.435,0.505,0,-1.846,0,-1.355,-8.313,NA,NA,NA
"EX",2021-04-11,"EX",1063987,2.242,911213,2.271,211265,70900,28100,310265,29.161,NA,0,0,0,0,32760,23000,0,55760,5.241,294429,208295,172269,27.672,NA,2.777,4597,4496,204,0.432,1.586,59304,49940,18729,5.574,5.881,3.034,208295,122161,86134,NA,NA,11.481,NA,NA,13.406,4496,101,0.423,0.009,49940,9364,4.694,0.88,5.481,1.028,2.206,6.833,0.117,1.079,23.863,NA,NA,NA
"GA",2021-04-11,"GA",2701819,5.694,2362643,5.887,532465,180300,73600,786365,29.105,NA,0,0,0,0,105300,58400,0,163700,6.059,707715,521864,371703,26.194,NA,6.676,24970,24767,408,0.924,3.657,175287,160300,29973,6.488,10.514,8.969,521864,336012,185852,NA,NA,12.437,NA,NA,14.222,24767,205,0.917,0.008,160300,14987,5.933,0.555,6.785,0.634,4.982,11.691,0.11,-0.676,17.246,NA,NA,NA
"RI",2021-04-11,"RI",319914,0.674,270788,0.675,59735,21300,7800,88835,27.768,NA,0,0,0,0,9360,6900,0,16260,5.083,81028,56218,49619,25.328,NA,0.764,1042,997,88,0.326,1.303,13541,12291,2499,4.233,8.337,0.693,56218,31409,24810,NA,NA,9.818,NA,NA,11.599,997,45,0.312,0.014,12291,1250,3.842,0.391,4.539,0.462,1.805,8.828,0.182,3.734,13.353,NA,NA,NA
