"","NOMBRES","ISO","poblacion","poblacion_mayor_16a","poblacion_mayor_18a","porc_pobl_total","porc_pobl_total_mayor_16a","porc_pobl_total_mayor_18a","DOSIS_ENTREGADAS_PFIZER","DOSIS_ENTREGADAS_ASTRA_ZENECA","DOSIS_ENTREGADAS_MODERNA","DOSIS_ENTREGADAS","PORC_ENTREGADAS_SOBRE_TOTAL","DOSIS_ADMIN","PORC_ADMIN_SOBRE_CCAA","PAUTA_COMPLETA","PORC_ADMIN_SOBRE_TOTAL","DESV_DOSIS_ENTREGADAS","PORC_PAUTA_COMPLETA","PORC_PAUTA_COMPLETA_16a","PORC_PAUTA_COMPLETA_18a","DESV_PORC_PAUTA_COMPLETA","DESV_PORC_PAUTA_COMPLETA_16a","DESV_PORC_PAUTA_COMPLETA_18a","DOSIS_ADMIN_100HAB","DESV_DOSIS_ADMIN","DOSIS_DIARIAS_ENTREGADAS","DOSIS_DIARIAS_ENTREGADAS_PFIZER","DOSIS_DIARIAS_ENTREGADAS_MODERNA","DOSIS_DIARIAS_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_DIARIAS","PORC_PAUTA_COMPLETA_DIARIA","DOSIS_ADMIN_100HAB_DIARIAS","DOSIS_7D_ENTREGADAS","DOSIS_7D_ENTREGADAS_PFIZER","DOSIS_7D_ENTREGADAS_MODERNA","DOSIS_7D_ENTREGADAS_ASTRA_ZENECA","PAUTA_COMPLETA_7D","DOSIS_ADMIN_7D","PORC_PAUTA_COMPLETA_7D","DOSIS_ADMIN_100HAB_7D","DESV_DOSIS_ADMIN_7D","DESV_PORC_PAUTA_COMPLETA_7D"
"1","ANDALUCÍA","AN",8464411,7062213,6880292,17.838,17.598,17.56,1283580,564800,168000,2016380,16.931,1557660,77.3,525160,17.267,-5.085,6.204,7.436,7.633,1.437,2.82,3.043,18.402,-3.202,368060,184860,0,183200,3119,40637,0.007,0.085,544310,284310,56800,203200,20747,157276,0.044,0.331,-87.7724418175102,-91.9117647058824
"2","ARAGON","AR",1329391,1132764,1107658,2.802,2.823,2.827,250695,88700,35300,374695,3.146,270285,72.1,96905,2.996,12.284,7.289,8.555,8.749,19.178,18.286,18.106,20.331,6.944,69750,40950,0,28800,93,4636,0,0.006,108680,63180,13600,31900,11027,29283,0.023,0.062,-97.7096416697451,-95.7720588235294
"3","ASTURIAS","AS",1018784,901209,885646,2.147,2.246,2.26,241925,68000,32700,342625,2.877,255449,74.6,93428,2.832,33.997,9.171,10.367,10.549,49.933,43.343,42.413,25.074,31.89,60610,38610,0,22000,634,5317,0.001,0.027,96070,59670,12000,24400,10649,39226,0.022,0.083,-96.9338751385297,-95.9558823529412
"4","BALEARES","IB",1171543,986279,962979,2.469,2.458,2.458,136080,78000,18000,232080,1.949,176500,76.1,49433,1.957,-21.073,4.219,5.012,5.133,-31.014,-30.698,-30.7,15.066,-20.754,48700,23400,0,25300,79,1192,0,0.006,71270,36270,6900,28100,5101,22161,0.011,0.047,-98.2637606206132,-97.9779411764706
"5","CANARIAS","CN",2175952,1871033,1826681,4.586,4.662,4.662,276090,145200,35800,457090,3.838,329689,72.1,110228,3.655,-16.31,5.066,5.891,6.034,-17.178,-18.541,-18.537,15.151,-20.303,90390,43290,0,47100,1016,5809,0.002,0.012,131790,66690,12900,52200,9584,37372,0.02,0.079,-97.0816401920946,-96.3235294117647
"6","CANTABRIA","CB",582905,501384,490593,1.228,1.249,1.252,115395,38800,15300,169495,1.423,122107,72,44861,1.354,15.895,7.696,8.947,9.144,25.827,23.716,23.447,20.948,10.187,30150,17550,0,12600,47,1356,0,0.001,46510,26910,5600,14000,1626,12243,0.003,0.026,-99.0395271518286,-99.4485294117647
"7","CASTILLA Y LEÓN","CL",2394918,2092873,2052189,5.047,5.215,5.238,555465,159900,78300,793665,6.664,590123,74.4,213653,6.542,32.042,8.921,10.209,10.411,45.855,41.154,40.548,24.641,29.611,144230,92430,0,51800,5315,17349,0.011,0.035,229670,141570,30600,57500,25265,82361,0.053,0.174,-93.5722201699298,-90.2573529411765
"8","CASTILLA-LA MANCHA","CM",2045221,1719964,1677600,4.31,4.286,4.282,356715,136400,49600,542715,4.557,406226,74.9,132737,4.503,5.731,6.49,7.717,7.912,6.11,6.708,6.816,19.862,4.476,100360,56160,0,44200,1537,14428,0.003,0.009,154180,86580,18600,49000,15210,65670,0.032,0.138,-94.9021056520133,-94.1176470588235
"9","CATALUNYA","CT",7780479,6531658,6371794,16.397,16.276,16.263,1220930,519100,168400,1908430,16.024,1456572,76.3,439833,16.146,-2.272,5.653,6.734,6.903,-7.576,-6.891,-6.812,18.721,-1.528,361350,193050,0,168300,16,15308,0,0.024,546780,297180,63000,186600,25976,237005,0.055,0.499,-81.5663095677872,-89.8897058823529
"10","C. VALENCIANA","VC",5057353,4269305,4166256,10.658,10.639,10.633,711550,337500,96800,1145850,9.621,870750,76,262861,9.652,-9.727,5.198,6.157,6.309,-15.022,-14.868,-14.825,17.218,-9.435,234590,125190,0,109400,1,64,0,0.018,353450,193050,39000,121400,16838,128730,0.035,0.271,-89.9889176209826,-93.5661764705882
