"fechas","AN","AR","AS","IB","CN","CB","CL","CM","CT","VC","EX","GA","RI","MD","MC","NC","PV","CE","ML","FFAA","ES"
2021-01-05,0.476,0.225,1.269,0.227,0.269,0.103,0.686,0.2,0.144,0.17,0.17,0.445,0.183,0.079,0.327,0.401,0.25,0.614,0.392,NA,0.294
2021-01-06,0.556,0.345,1.342,0.25,0.303,0.186,0.804,0.287,0.229,0.2,0.24,0.597,0.226,0.123,0.405,0.424,0.299,0.648,0.441,NA,0.365
2021-01-07,0.637,0.465,1.414,0.272,0.337,0.268,0.923,0.375,0.315,0.231,0.311,0.75,0.268,0.167,0.482,0.448,0.348,0.684,0.489,NA,0.437
2021-01-08,0.82,0.748,1.751,0.363,0.44,0.4,1.183,0.605,0.499,0.316,0.444,0.916,0.523,0.209,0.593,0.56,0.442,0.757,0.773,NA,0.586
2021-01-09,0.867,0.774,1.787,0.375,0.502,0.752,1.292,0.717,0.626,0.511,0.588,0.986,0.709,0.262,0.624,0.649,0.491,0.78,0.834,NA,0.676
2021-01-10,0.914,0.801,1.823,0.386,0.564,1.103,1.402,0.828,0.752,0.707,0.731,1.056,0.895,0.314,0.655,0.738,0.541,0.805,0.895,NA,0.766
2021-01-11,0.962,0.827,1.859,0.397,0.625,1.454,1.512,0.939,0.879,0.903,0.874,1.126,1.081,0.367,0.686,0.827,0.59,0.829,0.955,NA,0.856
2021-01-12,0.645,0.677,0.932,0.186,0.435,1.531,1.04,0.941,0.92,0.962,0.897,0.79,1.013,0.452,0.744,0.591,0.443,0.286,0.763,NA,0.735
2021-01-13,0.741,0.937,1.14,0.171,0.721,1.753,1.21,1.027,0.955,1.201,1.103,0.8,1.228,0.603,0.912,0.698,0.501,0.325,0.713,NA,0.86
2021-01-14,0.821,1.103,1.44,0.372,0.819,1.924,1.498,1.122,1.042,1.359,1.368,0.879,1.415,0.768,0.956,0.81,0.553,0.398,0.772,NA,0.988
2021-01-15,0.83,1.029,1.316,0.436,0.972,2.111,1.298,1.048,1.076,1.403,1.654,0.926,1.338,0.941,1.194,0.847,0.57,0.361,0.64,NA,1.035
2021-01-16,0.829,1.04,1.356,0.55,1.085,1.936,1.295,1.01,1.046,1.252,1.676,0.939,1.34,1.018,1.32,0.886,0.566,0.353,0.602,NA,1.035
2021-01-17,0.828,1.052,1.396,0.663,1.197,1.762,1.292,0.972,1.016,1.101,1.698,0.952,1.343,1.096,1.445,0.924,0.563,0.344,0.563,NA,1.036
2021-01-18,0.827,1.063,1.436,0.777,1.31,1.587,1.289,0.934,0.985,0.95,1.721,0.965,1.345,1.174,1.571,0.963,0.559,0.336,0.525,NA,1.037
2021-01-19,0.826,1.229,1.165,0.838,1.281,1.619,1.234,0.995,0.949,0.752,1.671,0.908,1.32,1.242,1.359,0.973,0.571,0.382,0.335,NA,1.007
2021-01-20,0.761,1.256,1.058,0.919,0.979,1.402,1.09,1.07,0.909,0.575,1.565,0.791,1.152,1.179,1.273,1.08,0.709,0.344,0.369,NA,0.936
