"fechas","AN","AR","AS","IB","CN","CB","CL","CM","CT","VC","EX","GA","RI","MD","MC","NC","PV","CE","ML","FFAA","ES"
2021-01-05,40263,2985,12929,2656,5857,601,16430,4092,11191,8586,1806,12012,585,5335,4949,2651,5553,517,341,0,139339
2021-01-06,47098,4586,13668,2923,6594,1082,19266,5879,17853,10132,2558,16138,722,8336,6118,2806,6644,546,384,0,173331
2021-01-07,53934,6186,14406,3190,7330,1564,22103,7666,24515,11677,3309,20265,858,11337,7287,2960,7734,576,426,0,207323
2021-01-08,69445,9944,17843,4257,9572,2334,28325,12380,38826,15965,4727,24750,1674,14152,8958,3703,9811,637,673,0,277976
2021-01-09,73426,10295,18210,4389,10917,4381,30952,14656,48686,25868,6252,26639,2268,17734,9426,4291,10908,657,726,0,320681
2021-01-10,77406,10647,18576,4520,12262,6427,33578,16933,58545,35771,7778,28529,2863,21315,9893,4880,12006,678,779,0,363386
2021-01-11,81387,10998,18943,4652,13607,8474,36205,19209,68405,45674,9303,30418,3457,24897,10361,5468,13103,698,832,0,406091
2021-01-12,94879,11983,22428,4835,15328,9527,41340,23342,82785,57223,11346,33346,3826,35949,16191,6557,15393,758,1005,0,488041
2021-01-13,109831,17043,25278,4931,22290,11302,48243,26879,92133,70870,14293,37745,4651,49228,19905,7420,17771,820,1005,0,581638
2021-01-14,123459,20854,29074,7552,25159,12779,57969,30613,105587,80429,17862,44014,5385,63385,21739,8314,20003,911,1098,0,676186
2021-01-15,139718,23619,31247,9366,30732,14639,59411,33809,122577,86927,22322,49768,5953,77921,27001,9305,22464,941,1230,0,768950
2021-01-16,143613,24124,32022,10827,34526,15667,61967,35313,130076,89183,24086,52006,6556,86777,29368,10148,23485,954,1250,0,811947
2021-01-17,147509,24628,32797,12289,38319,16696,64523,36817,137574,91439,25849,54243,7158,95634,31736,10991,24505,968,1269,0,854945
2021-01-18,151404,25133,33572,13750,42113,17724,67079,38321,145073,93695,27613,56481,7761,104490,34103,11834,25526,981,1289,0,897942
2021-01-19,164820,28316,34293,14658,43209,18967,70885,43682,156627,95260,29125,57871,8049,120168,36730,12991,28069,1080,1297,0,966097
2021-01-20,174279,33734,36054,15697,43599,19473,74350,48755,162830,99932,30941,59104,8335,129194,39142,14559,33523,1110,1326,0,1025937
2021-01-21,194101,38170,40011,18105,45482,19980,82162,53880,168054,101437,32039,62011,8684,142765,40757,15754,36864,1545,1500,0,1103301
2021-01-22,209766,41287,41465,20499,47068,20462,86370,57031,173147,103426,32979,65394,8967,154778,42261,16310,41474,1641,1500,0,1165825
2021-01-23,215280,41704,42285,21027,48082,20462,88932,58483,177024,103767,33028,65887,9033,158357,43655,16558,43024,1658,1500,0,1189748
