"fechas","AN","AR","AS","IB","CN","CB","CL","CM","CT","VC","EX","GA","RI","MD","MC","NC","PV","CE","ML","FFAA","ES"
2021-01-05,0.476,0.225,1.269,0.227,0.269,0.103,0.686,0.2,0.144,0.17,0.17,0.445,0.183,0.079,0.327,0.401,0.25,0.614,0.392,NA,0.294
2021-01-06,0.556,0.345,1.342,0.25,0.303,0.186,0.804,0.287,0.229,0.2,0.24,0.597,0.226,0.123,0.405,0.424,0.299,0.648,0.441,NA,0.365
2021-01-07,0.637,0.465,1.414,0.272,0.337,0.268,0.923,0.375,0.315,0.231,0.311,0.75,0.268,0.167,0.482,0.448,0.348,0.684,0.489,NA,0.437
2021-01-08,0.82,0.748,1.751,0.363,0.44,0.4,1.183,0.605,0.499,0.316,0.444,0.916,0.523,0.209,0.593,0.56,0.442,0.757,0.773,NA,0.586
2021-01-09,0.867,0.774,1.787,0.375,0.502,0.752,1.292,0.717,0.626,0.511,0.588,0.986,0.709,0.262,0.624,0.649,0.491,0.78,0.834,NA,0.676
2021-01-10,0.914,0.801,1.823,0.386,0.564,1.103,1.402,0.828,0.752,0.707,0.731,1.056,0.895,0.314,0.655,0.738,0.541,0.805,0.895,NA,0.766
2021-01-11,0.962,0.827,1.859,0.397,0.625,1.454,1.512,0.939,0.879,0.903,0.874,1.126,1.081,0.367,0.686,0.827,0.59,0.829,0.955,NA,0.856
2021-01-12,1.121,0.901,2.201,0.413,0.704,1.634,1.726,1.141,1.064,1.131,1.066,1.234,1.196,0.53,1.071,0.992,0.693,0.9,1.154,NA,1.029
2021-01-13,1.298,1.282,2.481,0.421,1.024,1.939,2.014,1.314,1.184,1.401,1.343,1.397,1.454,0.726,1.317,1.122,0.8,0.974,1.154,NA,1.226
2021-01-14,1.459,1.569,2.854,0.645,1.156,2.192,2.421,1.497,1.357,1.59,1.679,1.629,1.683,0.935,1.438,1.257,0.901,1.082,1.261,NA,1.425
2021-01-15,1.651,1.777,3.067,0.799,1.412,2.511,2.481,1.653,1.575,1.719,2.098,1.842,1.861,1.149,1.787,1.407,1.012,1.118,1.413,NA,1.621
2021-01-16,1.697,1.815,3.143,0.924,1.587,2.688,2.587,1.727,1.672,1.763,2.264,1.925,2.049,1.28,1.943,1.535,1.058,1.133,1.436,NA,1.711
2021-01-17,1.743,1.853,3.219,1.049,1.761,2.864,2.694,1.8,1.768,1.808,2.429,2.008,2.237,1.411,2.1,1.662,1.104,1.15,1.457,NA,1.802
2021-01-18,1.789,1.891,3.295,1.174,1.935,3.041,2.801,1.874,1.865,1.853,2.595,2.09,2.426,1.541,2.257,1.79,1.15,1.165,1.48,NA,1.892
2021-01-19,1.947,2.13,3.366,1.251,1.986,3.254,2.96,2.136,2.013,1.884,2.737,2.142,2.516,1.772,2.43,1.965,1.264,1.283,1.49,NA,2.036
2021-01-20,2.059,2.538,3.539,1.34,2.004,3.341,3.104,2.384,2.093,1.976,2.908,2.188,2.605,1.906,2.59,2.202,1.51,1.318,1.523,NA,2.162
