"fechas","AN","AR","AS","IB","CN","CB","CL","CM","CT","VC","EX","GA","RI","MD","MC","NC","PV","CE","ML","FFAA","ES"
2021-01-05,140295,23715,23720,12840,27660,11850,51390,35550,120545,61225,21725,37555,5915,98790,25685,11850,31605,1005,1005,0,743925
2021-01-06,140295,23715,23720,12840,27660,11850,51390,35550,120545,61225,21725,37555,5915,98790,25685,11850,31605,1005,1005,0,743925
2021-01-07,140295,23715,23720,12840,27660,11850,51390,35550,120545,61225,21725,37555,5915,98790,25685,11850,31605,1005,1005,0,743925
2021-01-08,140295,23715,23720,12840,27660,11850,51390,35550,120545,61225,21725,37555,5915,98790,25685,11850,31605,1005,1005,0,743925
2021-01-09,140295,23715,23720,12840,27660,11850,51390,35550,120545,61225,21725,37555,5915,98790,25685,11850,31605,1005,1005,0,743925
2021-01-10,140295,23715,23720,12840,27660,11850,51390,35550,120545,61225,21725,37555,5915,98790,25685,11850,31605,1005,1005,0,743925
2021-01-11,140295,23715,23720,12840,27660,11850,51390,35550,120545,61225,21725,37555,5915,98790,25685,11850,31605,1005,1005,0,743925
2021-01-12,140295,23715,23720,12840,27660,11850,51390,35550,120545,61225,21725,37555,5915,98790,25685,11850,31605,1005,1005,0,743925
2021-01-13,209520,35415,35420,12840,41310,17700,76740,53100,180020,91450,32450,56080,8840,147540,38360,17700,47205,1005,1005,0,1103700
2021-01-14,216320,36615,36620,13440,42610,18200,79240,54800,185820,94350,33450,57880,9040,152240,39560,18200,48605,1205,1205,0,1139400
2021-01-15,216320,36615,36620,13440,42610,18200,79240,54800,185820,94350,33450,57880,9040,152240,39560,18200,48605,1205,1205,0,1139400
2021-01-16,216320,36615,36620,14740,42610,18200,79240,54800,185820,94350,33450,57880,9040,152240,39560,18200,48605,1205,1205,0,1140700
2021-01-17,216320,36615,36620,16040,42610,18200,79240,54800,185820,94350,33450,57880,9040,152240,39560,18200,48605,1205,1205,0,1142000
2021-01-18,216320,36615,36620,17340,42610,18200,79240,54800,185820,94350,33450,57880,9040,152240,39560,18200,48605,1205,1205,0,1143300
2021-01-19,216320,36615,36620,17340,42610,18200,79240,54800,185820,94350,33450,57880,9040,152240,39560,18200,48605,1205,1205,0,1143300
2021-01-20,251420,42465,45395,23190,47485,21125,95815,63575,217020,111900,40275,68605,11965,176615,46385,21125,57380,2180,2180,0,1346100
2021-01-21,251420,42465,45395,23190,47485,21125,95815,63575,217020,111900,40275,68605,11965,176615,46385,21125,57380,2180,2180,0,1346100
2021-01-22,251420,42465,45395,23190,47485,21125,95815,63575,217020,111900,40275,68605,11965,176615,46385,21125,57380,2180,2180,0,1346100
2021-01-23,251420,42465,45395,23190,47485,21125,95815,63575,217020,111900,40275,68605,11965,176615,46385,21125,57380,2180,2180,0,1346100
2021-01-24,251420,42465,45395,23190,47485,21125,95815,63575,217020,111900,40275,68605,11965,176615,46385,21125,57380,2180,2180,0,1346100
2021-01-25,251420,42465,45395,23190,47485,21125,95815,63575,217020,111900,40275,68605,11965,176615,46385,21125,57380,2180,2180,0,1346100
2021-01-26,251420,42465,45395,23190,47485,21125,95815,63575,217020,111900,40275,68605,11965,176615,46385,21125,57380,2180,2180,0,1346100
2021-01-27,330980,56505,59435,30210,65620,28145,123895,84635,286050,145830,51975,89665,14305,232775,60425,28145,76100,2180,2180,0,1769055
2021-01-28,330980,56505,59435,30210,65620,28145,123895,84635,286050,145830,51975,89665,14305,232775,60425,28145,76100,2180,2180,0,1769055
2021-01-29,330980,56505,59435,30210,65620,28145,123895,84635,286050,145830,51975,89665,14305,232775,60425,28145,76100,2180,2180,0,1769055
