"fechas","AN","AR","AS","IB","CN","CB","CL","CM","CT","VC","EX","GA","RI","MD","MC","NC","PV","CE","ML","FFAA","ES"
2021-01-05,1.657,1.784,2.328,1.096,1.271,2.033,2.146,1.738,1.549,1.211,2.042,1.39,1.849,1.457,1.7,1.792,1.423,1.194,1.154,NA,1.568
2021-01-06,1.657,1.784,2.328,1.096,1.271,2.033,2.146,1.738,1.549,1.211,2.042,1.39,1.849,1.457,1.7,1.792,1.423,1.194,1.154,NA,1.568
2021-01-07,1.657,1.784,2.328,1.096,1.271,2.033,2.146,1.738,1.549,1.211,2.042,1.39,1.849,1.457,1.7,1.792,1.423,1.194,1.154,NA,1.568
2021-01-08,1.657,1.784,2.328,1.096,1.271,2.033,2.146,1.738,1.549,1.211,2.042,1.39,1.849,1.457,1.7,1.792,1.423,1.194,1.154,NA,1.568
2021-01-09,1.657,1.784,2.328,1.096,1.271,2.033,2.146,1.738,1.549,1.211,2.042,1.39,1.849,1.457,1.7,1.792,1.423,1.194,1.154,NA,1.568
2021-01-10,1.657,1.784,2.328,1.096,1.271,2.033,2.146,1.738,1.549,1.211,2.042,1.39,1.849,1.457,1.7,1.792,1.423,1.194,1.154,NA,1.568
2021-01-11,1.657,1.784,2.328,1.096,1.271,2.033,2.146,1.738,1.549,1.211,2.042,1.39,1.849,1.457,1.7,1.792,1.423,1.194,1.154,NA,1.568
2021-01-12,1.657,1.784,2.328,1.096,1.271,2.033,2.146,1.738,1.549,1.211,2.042,1.39,1.849,1.457,1.7,1.792,1.423,1.194,1.154,NA,1.568
2021-01-13,2.475,2.664,3.477,1.096,1.898,3.037,3.204,2.596,2.314,1.808,3.05,2.076,2.763,2.176,2.538,2.677,2.126,1.194,1.154,NA,2.326
2021-01-14,2.556,2.754,3.594,1.147,1.958,3.122,3.309,2.679,2.388,1.866,3.144,2.142,2.826,2.245,2.618,2.753,2.189,1.431,1.384,NA,2.401
