"fechas","AN","AR","AS","IB","CN","CB","CL","CM","CT","VC","EX","GA","RI","MD","MC","NC","PV","CE","ML","FFAA","ES"
2021-01-05,40263,2985,12929,2656,5857,601,16430,4092,11191,8586,1806,12012,585,5335,4949,2651,5553,517,341,0,139339
2021-01-06,47098,4586,13668,2923,6594,1082,19266,5879,17853,10132,2558,16138,722,8336,6118,2806,6644,546,384,0,173331
2021-01-07,53934,6186,14406,3190,7330,1564,22103,7666,24515,11677,3309,20265,858,11337,7287,2960,7734,576,426,0,207323
2021-01-08,69445,9944,17843,4257,9572,2334,28325,12380,38826,15965,4727,24750,1674,14152,8958,3703,9811,637,673,0,277976
2021-01-09,73426,10295,18210,4389,10917,4381,30952,14656,48686,25868,6252,26639,2268,17734,9426,4291,10908,657,726,0,320681
2021-01-10,77406,10647,18576,4520,12262,6427,33578,16933,58545,35771,7778,28529,2863,21315,9893,4880,12006,678,779,0,363386
2021-01-11,81387,10998,18943,4652,13607,8474,36205,19209,68405,45674,9303,30418,3457,24897,10361,5468,13103,698,832,0,406091
2021-01-12,94879,11983,22428,4835,15328,9527,41340,23342,82785,57223,11346,33346,3826,35949,16191,6557,15393,758,1005,0,488041
2021-01-13,109831,17043,25278,4931,22290,11302,48243,26879,92133,70870,14293,37745,4651,49228,19905,7420,17771,820,1005,0,581638
2021-01-14,123459,20854,29074,7552,25159,12779,57969,30613,105587,80429,17862,44014,5385,63385,21739,8314,20003,911,1098,0,676186
2021-01-15,139718,23619,31247,9366,30732,14639,59411,33809,122577,86927,22322,49768,5953,77921,27001,9305,22464,941,1230,0,768950
2021-01-16,143258,24124,31888,10724,34308,15667,61885,35313,129964,89081,24086,51906,6556,86460,29368,10148,23485,935,1250,0,810404
2021-01-17,146798,24628,32527,12082,37883,16696,64357,36817,137352,91237,25849,54043,7158,94999,31736,10991,24505,929,1269,0,851858
2021-01-18,150338,25133,33168,13440,41459,17724,66831,38321,144739,93391,27613,56181,7761,103538,34103,11834,25526,923,1289,0,893312
2021-01-19,161274,27816,31723,14330,42531,18967,70021,43304,155763,94084,28617,55489,7961,118730,34862,12393,27289,1022,1239,0,947415
2021-01-20,165143,32488,32680,15363,42921,19473,73084,48365,161004,96458,30433,56710,8247,127570,36098,13553,32743,1052,1268,0,994653
2021-01-21,163715,34708,28683,15077,41994,19498,71570,51476,162858,95525,30763,54289,8150,139289,37189,14220,34198,893,1094,0,1005189
2021-01-22,168074,36957,27763,15179,41338,19980,74250,53845,164945,95148,31703,50986,8333,150252,38089,14696,35386,895,1094,0,1028913
2021-01-23,170475,37336,27131,15671,41600,19980,74457,55021,166574,95227,31752,50547,8399,153583,37909,14942,36728,912,1094,0,1039341
