"fechas","AN","AR","AS","IB","CN","CB","CL","CM","CT","VC","EX","GA","RI","MD","MC","NC","PV","CE","ML","FFAA","ES"
2021-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-16,178,0,67,52,109,0,41,0,56,51,0,50,0,159,0,0,0,10,0,0,772
2021-01-17,355,0,135,103,218,0,83,0,111,101,0,100,0,317,0,0,0,19,0,0,1543
2021-01-18,533,0,202,155,327,0,124,0,167,152,0,150,0,476,0,0,0,29,0,0,2315
2021-01-19,1773,250,1285,164,339,0,432,189,432,588,254,1191,44,719,934,299,390,29,29,0,9341
2021-01-20,4568,623,1687,167,339,0,633,195,913,1737,254,1197,44,812,1522,503,390,29,29,0,15642
2021-01-21,15193,1731,5664,1514,1744,241,5296,1202,2598,2956,638,3861,267,1738,1784,767,1333,326,203,0,49056
2021-01-22,20846,2165,6851,2660,2865,241,6060,1593,4101,4139,638,7204,317,2263,2086,807,3044,373,203,0,68456
2021-01-23,22403,2184,7577,2678,3241,241,7238,1731,5225,4270,638,7670,317,2387,2873,808,3148,373,203,0,75203
2021-01-24,23959,2203,8304,2695,3617,241,8415,1870,6348,4401,638,8136,317,2510,3660,808,3251,373,203,0,81951
2021-01-25,25516,2222,9030,2713,3993,241,9593,2008,7472,4532,638,8602,317,2634,4447,809,3355,373,203,0,88698
2021-01-26,37978,2945,10694,2879,5149,300,13245,3623,9620,5393,1721,12042,455,4073,5829,1757,5159,503,332,0,123697
2021-01-27,50951,5860,13727,3114,6434,300,18756,6982,18426,7304,3134,14235,684,5611,7453,2541,6637,503,414,0,173066
2021-01-28,55004,6806,14080,3295,6864,782,19658,7628,23262,8948,3135,15827,1084,6987,8713,2797,6906,569,414,0,192759
2021-01-29,67511,9752,16266,4369,8772,924,25020,12486,35424,11317,4460,20268,1592,10595,9264,3535,9052,628,631,0,251866
2021-01-30,71221,9956,17336,4507,9682,1528,28162,14144,43841,18676,5855,22545,1891,12342,9940,4117,10127,648,689,0,287208
2021-01-31,74930,10160,18405,4644,10591,2133,31304,15802,52259,26036,7251,24821,2191,14090,10617,4699,11202,668,748,0,322550
2021-02-01,78640,10364,19475,4782,11501,2737,34446,17460,60676,33395,8646,27098,2490,15837,11293,5281,12277,688,806,0,357892
2021-02-02,90764,11119,19503,5026,14647,4261,35051,21360,69431,44979,10776,29065,3478,24312,12580,6320,14059,748,1040,0,418519
2021-02-03,104529,15157,22227,5262,17129,5861,40565,24525,80387,58452,13202,31725,4301,35902,14117,7148,16621,806,1062,0,498978
2021-02-04,117953,19535,25710,7929,20260,7122,45682,27691,91724,67840,16996,37572,5433,49470,16462,8008,18773,895,1067,0,586122
2021-02-05,131693,23488,28740,9922,24049,8806,56665,30345,107877,75577,21662,37720,6521,67334,20388,9016,21112,921,1073,0,682909
2021-02-06,135646,23785,29649,11091,25419,10013,58753,30940,112165,78108,23310,42288,6868,73771,21696,9824,22075,935,1072,0,717408
2021-02-07,139599,24083,30558,12261,26788,11220,60840,31534,116454,80640,24957,46856,7214,80208,23004,10631,23039,950,1072,0,751908
2021-02-08,143552,24380,31467,13430,28158,12427,62928,32129,120742,83171,26605,51424,7561,86645,24312,11439,24002,964,1071,0,786407
2021-02-09,151577,25222,31944,14072,29047,13470,64568,33207,129651,87353,27390,54504,7777,102204,25944,12509,26299,964,1080,0,838782
2021-02-10,159969,29343,32296,14564,29967,14393,69345,35531,138400,89522,28790,54604,7997,115535,27799,13286,26299,963,1080,0,889683
2021-02-11,168087,32986,32706,15576,29967,16259,72444,38191,146079,90760,29776,55082,8129,128570,29721,14003,32897,963,1082,0,943278
2021-02-12,176731,35659,32946,16683,40779,17478,75433,41690,152091,92433,30501,55187,8365,139553,32249,14536,36125,963,1083,0,1000485
2021-02-13,181443,36099,33119,17340,41643,17957,76379,44253,155395,93040,30706,55239,8393,143934,33984,14805,37911,963,1083,0,1023687
2021-02-14,186155,36539,33293,17996,42507,18437,77325,46815,158699,93648,30911,55291,8421,148315,35718,15075,39697,964,1084,0,1046889
2021-02-15,190867,36979,33466,18653,43371,18916,78271,49378,162003,94255,31116,55343,8449,152696,37453,15344,41483,964,1084,0,1070091
2021-02-16,194477,37628,34140,19025,44120,19000,80091,52826,166104,95559,32353,57383,8523,156682,38970,16062,41758,969,1252,0,1096922
2021-02-17,198314,39674,34568,19361,45239,19062,81422,55447,168254,96040,33415,57397,8529,160202,39879,16873,43281,969,1254,0,1119180
2021-02-18,202631,40945,35251,19906,46799,19118,83192,58335,170429,96724,35477,57531,8812,163768,42022,17700,43642,1019,1255,0,1144556
2021-02-19,208721,42429,36392,20499,48759,19376,84052,59845,176286,97384,36485,57611,8848,166475,43159,18445,43919,1086,1255,0,1171026
2021-02-20,210837,42573,36810,20516,49090,19521,84571,60434,177556,97791,36953,57695,8936,167216,43988,18744,44132,1086,1257,0,1179704
2021-02-21,212954,42716,37227,20532,49421,19665,85089,61023,178826,98199,37421,57778,9024,167956,44817,19042,44345,1086,1260,0,1188383
2021-02-22,215070,42860,37645,20549,49752,19810,85608,61612,180096,98606,37889,57862,9112,168697,45646,19341,44558,1086,1262,0,1197061
2021-02-23,216617,43705,37949,20560,49926,19854,86452,63205,181835,99045,38029,58052,9193,169765,46777,20090,44902,1087,1262,0,1208305
2021-02-24,218967,44195,38423,20576,50067,19963,87344,64920,183354,100209,38366,58239,9193,170589,48528,20422,45475,1087,1266,0,1221183
2021-02-25,221557,44734,38716,20975,51123,20018,88071,65766,184380,100793,38511,58354,9204,171359,49356,20842,45667,1090,1266,0,1231782
