"fechas","AN","AR","AS","IB","CN","CB","CL","CM","CT","VC","EX","GA","RI","MD","MC","NC","PV","CE","ML","FFAA","ES"
2021-01-05,40263,2985,12929,2656,5857,601,16430,4092,11191,8586,1806,12012,585,5335,4949,2651,5553,517,341,0,139339
2021-01-06,47098,4586,13668,2923,6594,1082,19266,5879,17853,10132,2558,16138,722,8336,6118,2806,6644,546,384,0,173331
2021-01-07,53934,6186,14406,3190,7330,1564,22103,7666,24515,11677,3309,20265,858,11337,7287,2960,7734,576,426,0,207323
2021-01-08,69445,9944,17843,4257,9572,2334,28325,12380,38826,15965,4727,24750,1674,14152,8958,3703,9811,637,673,0,277976
2021-01-09,73426,10295,18210,4389,10917,4381,30952,14656,48686,25868,6252,26639,2268,17734,9426,4291,10908,657,726,0,320681
2021-01-10,77406,10647,18576,4520,12262,6427,33578,16933,58545,35771,7778,28529,2863,21315,9893,4880,12006,678,779,0,363386
2021-01-11,81387,10998,18943,4652,13607,8474,36205,19209,68405,45674,9303,30418,3457,24897,10361,5468,13103,698,832,0,406091
2021-01-12,94879,11983,22428,4835,15328,9527,41340,23342,82785,57223,11346,33346,3826,35949,16191,6557,15393,758,1005,0,488041
2021-01-13,109831,17043,25278,4931,22290,11302,48243,26879,92133,70870,14293,37745,4651,49228,19905,7420,17771,820,1005,0,581638
2021-01-14,123459,20854,29074,7552,25159,12779,57969,30613,105587,80429,17862,44014,5385,63385,21739,8314,20003,911,1098,0,676186
2021-01-15,139718,23619,31247,9366,30732,14639,59411,33809,122577,86927,22322,49768,5953,77921,27001,9305,22464,941,1230,0,768950
2021-01-16,143436,24124,31955,10776,34417,15667,61926,35313,130020,89132,24086,51956,6556,86619,29368,10148,23485,945,1250,0,811176
2021-01-17,147153,24628,32662,12185,38101,16696,64440,36817,137463,91338,25849,54143,7158,95316,31736,10991,24505,948,1269,0,853401
2021-01-18,150871,25133,33370,13595,41786,17724,66955,38321,144906,93543,27613,56331,7761,104014,34103,11834,25526,952,1289,0,895627
2021-01-19,163047,28066,33008,14494,42870,18967,70453,43493,156195,94672,28871,56680,8005,119449,35796,12692,27679,1051,1268,0,956756
2021-01-20,169711,33111,34367,15530,43260,19473,73717,48560,161917,98195,30687,57907,8291,128382,37620,14056,33133,1081,1297,0,1010295
2021-01-21,178908,36439,34347,16591,43738,19739,76866,52678,165456,98481,31401,58150,8417,141027,38973,14987,35531,1219,1297,0,1054245
2021-01-22,188920,39122,34614,17839,44203,20221,80310,55438,169046,99287,32341,58190,8650,152515,40175,15503,38430,1268,1297,0,1097369
2021-01-23,192878,39520,34708,18349,44841,20221,81695,56752,171799,99497,32390,58217,8716,155970,40782,15750,39876,1285,1297,0,1114544
