"fechas","AN","AR","AS","IB","CN","CB","CL","CM","CT","VC","EX","GA","RI","MD","MC","NC","PV","CE","ML","FFAA","ES"
2021-01-05,28.699,12.587,54.507,20.685,21.175,5.072,31.971,11.511,9.284,14.024,8.313,31.985,9.89,5.4,19.268,22.371,17.57,51.443,33.93,NA,18.73
2021-01-06,33.571,19.338,57.622,22.765,23.839,9.131,37.49,16.537,14.81,16.549,11.774,42.972,12.206,8.438,23.819,23.679,21.022,54.328,38.209,NA,23.3
2021-01-07,38.443,26.085,60.734,24.844,26.5,13.198,43.01,21.564,20.337,19.072,15.231,53.961,14.505,11.476,28.371,24.979,24.471,57.313,42.388,NA,27.869
2021-01-08,49.499,41.931,75.223,33.154,34.606,19.696,55.118,34.824,32.209,26.076,21.758,65.903,28.301,14.325,34.876,31.249,31.043,63.383,66.965,NA,37.366
2021-01-09,52.337,43.411,76.771,34.182,39.469,36.97,60.23,41.226,40.388,42.251,28.778,70.933,38.343,17.951,36.698,36.211,34.514,65.373,72.239,NA,43.107
2021-01-10,55.174,44.896,78.314,35.202,44.331,54.236,65.34,47.632,48.567,58.425,35.802,75.966,48.402,21.576,38.517,41.181,37.988,67.463,77.512,NA,48.847
2021-01-11,58.011,46.376,79.861,36.231,49.194,71.511,70.451,54.034,56.746,74.6,42.822,80.996,58.445,25.202,40.339,46.143,41.459,69.453,82.786,NA,54.588
2021-01-12,67.628,50.529,94.553,37.656,55.416,80.397,80.444,65.66,68.676,93.463,52.226,88.792,64.683,36.389,63.037,55.333,48.704,75.423,100,NA,65.604
2021-01-13,52.42,48.124,71.366,38.403,53.958,63.853,62.866,50.62,51.179,77.496,44.046,67.306,52.613,33.366,51.89,41.921,37.646,81.592,100,NA,52.699
2021-01-14,57.072,56.955,79.394,56.19,59.045,70.214,73.156,55.863,56.822,85.245,53.399,76.044,59.569,41.635,54.952,45.681,41.154,75.602,91.12,NA,59.346
2021-01-15,64.589,64.506,85.328,69.688,72.124,80.434,74.976,61.695,65.965,92.132,66.732,85.985,65.852,51.183,68.253,51.126,46.217,78.091,102.075,NA,67.487
2021-01-16,66.389,65.886,87.444,73.453,81.028,86.082,78.202,64.44,70.001,94.524,72.006,89.851,72.522,57,74.237,55.758,48.318,79.17,103.734,NA,71.18
2021-01-17,68.19,67.262,89.56,76.615,89.93,91.736,81.427,67.184,74.036,96.915,77.277,93.716,79.181,62.818,80.222,60.39,50.417,80.332,105.311,NA,74.864
2021-01-18,69.991,68.641,91.677,79.296,98.834,97.385,84.653,69.929,78.072,99.306,82.55,97.583,85.852,68.635,86.206,65.022,52.517,81.411,106.971,NA,78.539
2021-01-19,76.193,77.334,93.646,84.533,101.406,104.214,89.456,79.712,84.29,100.964,87.07,99.984,89.038,78.933,92.846,71.379,57.749,89.627,107.635,NA,84.501
