"fechas","AN","AR","AS","IB","CN","CB","CL","CM","CT","VC","EX","GA","RI","MD","MC","NC","PV","CE","ML","FFAA","ES"
2021-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
2021-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
2021-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
2021-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
2021-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
2021-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
2021-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
2021-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
2021-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
2021-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
2021-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
2021-01-16,0.002,0,0.007,0.004,0.005,0,0.002,0,0.001,0.001,0,0.002,0,0.002,0,0,0,0.012,0,NA,0.002
2021-01-17,0.004,0,0.013,0.009,0.01,0,0.003,0,0.001,0.002,0,0.004,0,0.005,0,0,0,0.023,0,NA,0.003
2021-01-18,0.006,0,0.02,0.013,0.015,0,0.005,0,0.002,0.003,0,0.006,0,0.007,0,0,0,0.034,0,NA,0.005
2021-01-19,0.021,0.019,0.126,0.014,0.016,0,0.018,0.009,0.006,0.012,0.024,0.044,0.014,0.011,0.062,0.045,0.018,0.034,0.033,NA,0.02
2021-01-20,0.054,0.047,0.166,0.014,0.016,0,0.026,0.01,0.012,0.034,0.024,0.044,0.014,0.012,0.101,0.076,0.018,0.034,0.033,NA,0.033
2021-01-21,0.179,0.13,0.556,0.129,0.08,0.041,0.221,0.059,0.033,0.058,0.06,0.143,0.083,0.026,0.118,0.116,0.06,0.387,0.233,NA,0.103
2021-01-22,0.246,0.163,0.672,0.227,0.132,0.041,0.253,0.078,0.053,0.082,0.06,0.267,0.099,0.033,0.138,0.122,0.137,0.443,0.233,NA,0.144
